original,normalizado
andalucia,andalusia
andalucia,andalucia
adra,adra
almería,almeria
berja,berja
huércal-overa,huercal
huércal-overa,overa
mojácar,mojacar
velez-rubio,velez
vera,vera
algeciras,algeciras
barbate,barbate
cádiz,cadiz
chiclana de la frontera,chiclana
el puerto de santa maría,st. mary's port
el puerto de santa maría,santa maria
la línea de la concepción,linea de la concepción
la línea de la concepción,linea concepción
rota,rota
san fernando,san fernando
san roque,san roque
sanlúcar de barrameda,san lucar de barrameda
sanlúcar de barrameda,sanlucar
tarifa,tarifa
jerez de la frontera,jerez
jerez de la frontera,sherry
almodovar,almodovar
baena,baena
bujalance,bujalance
córdoba,cordova
córdoba,cordoba
lucena,lucena
montilla,montilla
montoro,montoro
palma del río,palma del río
villaharta,villaharta
alhama de granada,alhama de granada
alhama de granada,alhama granada
almuñecar,almunecar
baza,baza
granada,granada
guadix,guadix
loja,loja
motril,motril
santa fe,santa fe
almonte,almonte
ayamonte,ayamonte
huelva,huelva
moguer,moguer
niebla,niebla
palos de la frontera,palos
palos de la frontera,palos de la frontera
río tinto,rio tinto
punta umbria,punta ummbria
tharsis,tharsis
andújar,andujar
bailén,bailen
baeza,baeza
cazorla,cazorla
jaén,jaen
la carolina,carolina
linares,linares
marmolejo,marmolejo
martos,martos
menjíbar,menjibar
quesada,quesada
úbeda,ubeda
villacarillo,villacarillo
algarrobo,algarrobo
antequera,antequera
archidona,archidona
arriate,arriate
bobadilla,bobadilla
málaga,malaga
marbella,marbella
mijas,mijas
ronda,ronda
tolox,tolox
vélez-málaga,velez
alcalá de guadaira,alcala de guadaira
alcá de guadaira,alcala guadaira
carmona,carmona
coria del río,coria del rio
écija,ecija
lebrija,lebrija
lora del río,lora del rio
mairena,mairena
marchena,marchena
moron de la frontera,moron
osuna,osuna
santiponce,italica
sevilla,seville
sevilla,sevilla
utrera,utrera
