spanish;english
adra;adra
almería;almeria
berja;berja
huércal-overa;huercal
mojácar;mojacar
velez-rubio;velez
algeciras;algeciras
barbate;barbate
cádiz;cadiz
chiclana de la frontera;chiclana
el puerto de santa maría;st. mary's port
el puerto de santa maría;santa maria
san fernando;san fernando
tarifa;tarifa
jerez de la frontera;xerez
jerez de la frontera;xeres
jerez de la frontera;jerez
jerez de la frontera;sherry
almodovar;almodovar
baena;baena
bujalance;bujalance
córdoba;cordova
córdoba;córdoba
córdoba;cordoba
lucena;lucena
montilla;montilla
montoro ;montoro
palma del río;palma
alhama de granada;alhama
almuñecar;almunecar
baza;baza
granada;granada
granada;generalife
guadix;guadix
loja;loja
motril;motril
santa fe;santa fe
almonte;almonte
ayamonte;ayamonte
huelva;huelva
moguer;moguer
niebla;niebla
palos de la frontera;palos
río tinto;rio tinto
andújar;andujar
bailén;bailen
baeza;baeza
cazorla;cazorla
jaén;jaen
la carolina;carolina
linares;linares
martos;martos
menjíbar;menjibar
úbeda;ubeda
villacarillo;villacarillo
algarrobo;algarrobo
antequera;antequera
archidona;archidona
málaga;malaga
marbella;marbella
ronda;ronda
vélez-málaga;velez
alcalá de guadaira;alcala
carmona;carmona
écija;ecija
osuna;osuna
santiponce;italica
sevilla;seville
sevilla;sevilla
utrera;utrera
