principal ,variantes
alhambra,alhambra
casa de pilatos,casa de pilatos
casa de pilatos,pilate's house
pilatos,pilatos
generalife,generalife
gibralfaro,gibralfaro
giralda,giralda
itálica,italica
itálica,itálica
medina azhara,medinat al-zahra
medina azhara,medina azhara
patio de los naranjos,court of oranges
patio de los naranjos,patio de los naranjos
patio de los leones,patio de los leones
patio de los leones,court of lions
torre de calahorra,calahorra tower
torre de calahorra,torre de calahorra
torre del oro,golden tower
torre del oro,gold tower
torreo del oro,tower of gold
torre del oro,torre del oro
alcazaba,alcazaba
alcázar,alcazar
alcázar,alcázar
castillo,castle
castillo,castillo
capilla,capilla
capilla,chapel
catedral,cathedral
catedral,catedral
claustro,claustro
claustro,cloister
iglesia,church
iglesia,iglesia
mezquita,mosque
mezquita,mezquita
muralla,wall
muralla,rampart
muralla,muralla
palacio,palace
palacio,palacio
puente,bridge
puente,puente
puerto,harbour
puerto,port
puerto,puerto
ruina,ruin
ruina,ruina
tajo,gorge
tajo,tajo
albaicín,albaicín
albaicín,albaicin
albaicín,albayzin
sacromonte,sacromonte
sierpes,sierpes
malagueta,malagueta
triana,triana
barrio,quarter
barrio,barrio
calle,street
calle,calle
casa,house
casa,dwelling
casa,casa
casco histórico,old quarter
casco histórico,old town
ciudad,town
ciudad,ciudad
pueblo,village
pueblo,pueblo
pueblo,pueblecito
cortijo,farm
cortijo,cortijo
judería,jewish
judería,jewry
judería,judería
mercado,market
mercado,zoco
mercado,socco
mercado,mercado
jardín,garden
jardín,jardín
jardin,jardin
parque,park
parque,parque
patio,court
patio,courtyard
patio,patio
patio,patios
plaza,square
plaza,plaza
posada,inn
posada,posada
taberna,tavern
taberna,taberna
pozo,welling
pozo,pozo
circo,circo
circo,cirque
circo,circus
teatro,theatre
teatro,teatro
cementerio,cemetery
cementerio,cementerio
cárcel,gaol
cárcel,carcel
cárcel,cárcel
hospital,hospital
mina,mine
mina,mina
mina,mining
cobre,copper
cobre,cobre
aguardiente,aguardiente
botijo,botijo
cantaro,water-jars
cantaro,cantaro
molino,mill
molino,molino
vino,wine
vino,sherry
vino,vino
buñuelo,bunuelo
buñuelo,buñuelo
churro,churro
ajo,garlic
ajo,ajo
gazpacho,gazpacho
olla,olla
aceite,oil
aceite,aceite
tabaco,tobacco
tabaco,tabaco
tabaco,cigarrette
uva,grape
uva,uva
barreño,barreno
barreño,barreño
trabuco,trabuco
alforja,alforja
camino,road
camino,highway
camino,route
camino,camino
sendero,foothpath
sendero,sendero
tierra,land
tierra,tierra
diligencia,carriage
diligencia,diligence
diligencia,diligencia
a caballo,on horseback
ferrocarril,railway
ferrocarril,railroad
ferrocarril,ferrocarril
tren,train
tren,tren
venta,ventorrillo
venta,venta
alpujarra,alpujarra
alpuxarra,alpuxarra
darro,darro
despeñaperros,despenaperros
despeñaperros,despeñaperros
doñana,donana
doñana,doñana
genil,genil
guadalete,guadalete
guadalevín,guadalevin
guadalevín,guadalevín
guadalquivir,guadalquivir
sierra de almijara,sierra almijara
sierra de aracena,sierra de aracena
sierra bermeja,sierra bermeja
sierra de cazorla,sierra de cazorla
sierra de grazalema,grazalema
sierra de grazalema,sierra de grazalema
sierra morena,brown mountain
sierra morena,sierra morena
sierra nevada,sierra nevada
mulhacén,mulhacen
mulhacén,mulhacén
mulhacén,muley hassan
mar,sea
marismas,marisma
marismas,marismas
montaña,mountain
montaña,montaña
montaña,montana
rio,river
del sur,southern
muy al sur,way south
sur,south
