principal,variantes,menciones
andaluz,andalusian,32
mujer (lady),lady,27
procesión (procession),procession,26
mujeres (women),women,24
virgen,virgin,22
moro (moorish),moorish,16
gitano,gypsy,15
gitanos,gypsies,14
mujer (girl),girl,14
pobre,poor,13
procesión (pageant),pageant,12
mujeres (girls),girls,11
belleza,beauty,10
campesino,peasant,10
feria,fair,10
corrida,bull-fight,10
corridas,bull-fights,10
moros,moors,9
semana santa,holy week,9
sol,sun,8
orgulloso,proud,8
religioso,religious,8
mujer (senora),senora,8
sevillano,sevillian,7
mujer (woman),woman,7
carnaval,carnival,7
mantilla,shawl,6
mantillas,mantillas,6
caridad,charity,5
hospitalidad,hospitality,5
mujer,senorita,5
árabe,arabian,5
moro,moor,5
semana santa,passion week,5
abanico,fan,5
pintoresco,picturesque,4
orgullo,pride,4
guardia civil,civil guard,4
musulmán,moslem,4
baile,dance,4
corpus christi,corpus christi,4
guitarra,guitar,4
calor,heat,3
tradición,tradition,3
hacedores,makers,3
granadino,granadine,3
árabe,arab,3
bellezas,beauties,2
calor,hot,2
delicioso,delicious,2
honestidad,honesty,2
tradición,custom,2
pastor,shepherd,2
vendedor,seller,2
mendigo,beggar,2
mendigo,mendicant,2
árabe,arabic,2
virgen,virgen,2
café,coffee,2
mantillas,shawls,2
alegre,cheerful,1
amable,friendly,1
encantador,delightful,1
honesto,honest,1
patriota,patriotic,1
patriota,patriot,1
pobre,pobre,1
valiente,brave,1
violento,violent,1
lechero,milkman,1
pastor,pastor,1
vendedores,sellers,1
bandoleros,bandits,1
romería,pilgrim,1
toreo,bull-fighting,1
tertulia,conversation,1
velo,veil,1
