principal,variantes,menciones
casa,house,42
calle,street,38
alhambra,alhambra,31
puerto,port,31
mar,sea,31
iglesia,church,30
tren,train,29
catedral,cathedral,27
muralla,wall,25
tierra,land,25
posada,inn,24
patio,court,22
camino,road,20
olla,olla,18
rio,river,16
aceite,oil,15
diligencia,carriage,15
plaza,plaza,14
mina,mine,13
montaña,mountain,13
ciudad,town,12
calle,calle,11
parque,park,11
capilla,chapel,10
palacio,palace,10
puente,bridge,10
plaza,square,10
teatro,theatre,10
hospital,hospital,10
mezquita,mosque,9
jardín,garden,9
mina,mina,9
molino,mill,9
guadalquivir,guadalquivir,9
patio,patio,8
vino,wine,8
camino,route,8
giralda,giralda,7
tajo,gorge,7
cobre,copper,7
sur,south,7
sierpes,sierpes,6
ruina,ruin,5
albaicín,albaicin,5
patio,patios,5
pozo,welling,5
castillo,castle,4
casa,dwelling,4
mercado,market,4
cementerio,cemetery,4
sierra nevada,sierra nevada,4
torre del oro,golden tower,3
alcázar,alcazar,3
capilla,capilla,3
triana,triana,3
circo,circus,3
cárcel,carcel,3
tabaco,tobacco,3
tren,tren,3
generalife,generalife,2
patio de los naranjos,court of oranges,2
casa,casa,2
darro,darro,2
del sur,southern,2
itálica,italica,1
puerto,puerto,1
barrio,quarter,1
pueblo,village,1
judería,jewish,1
teatro,teatro,1
cantaro,water-jars,1
vino,sherry,1
tierra,tierra,1
diligencia,diligence,1
a caballo,on horseback,1
ferrocarril,railway,1
sierra morena,sierra morena,1
marismas,marisma,1
marismas,marismas,1
montaña,montana,1
