principal,variantes,menciones
"bueno (característica, general)",good,31
"hombre (género, masculino)",men,29
"señor (género, masculino)",don,29
"señora (género, femenino)",lady,27
"procesión (fiestas, religión)",procession,26
"mujer (género, femenino)",women,24
"virgen  (característica, general)",virgin,22
"hombre (género, masculino)",man,22
"amor  (característica, general)",love,19
"belleza (característica, general)",beautiful,18
"señora (género, femenino)",ladies,16
"chico (género, masculino)",boy,16
"moro (grupos, externo)",moorish,16
"dios (característica, general)",god,15
"gitano (grupos, interno)",gypsy,15
"santo  (característica, general)",san,14
"chica (género, femenino)",girl,14
"gitano (grupos, interno)",gypsies,14
"camino  (característica, general)",road,13
"pobre (característica, general)",poor,13
"rico (característica, general)",rich,13
"procesión (fiestas, religión)",pageant,12
"chica (género, femenino)",girls,11
"chico (género, masculino)",boys,11
"belleza (característica, general)",beauty,10
"campesino (oficio, campo y ciudad)",peasant,10
"feria  (fiestas, feria y carnaval)",fair,10
"feria  (fiestas, feria y carnaval)",feria,10
"corrida/toreo (fiestas, toreo)",bull-fight,10
"corrida/toreo (fiestas, toreo)",bull-fights,10
"moro (grupos, externo)",moors,9
"procesión (fiestas, religión)",pageants,9
"semana santa  (fiestas, religión)",holy week,9
"camino  (característica, general)",route,8
"orgullO/so (característica, general)",proud,8
"religioso  (característica, personalidad)",religious,8
"señora (género, femenino)",senora,8
"viajero (característica, general)",traveller,7
"mujer (género, femenino)",woman,7
"mendigo (grupos, interno)",beggars,7
"carnaval  (fiestas, feria y carnaval)",carnival,7
"cofradia (fiestas, religión)",cofradia,7
"ilusión (característica, general)",hope,6
"miedo  (característica, general)",fear,6
"alegría  (característica, general)",joy,6
"señor (género, masculino)",senor,6
"campesino (oficio, campo y ciudad)",peasants,6
"caseta (fiestas, feria y carnaval)",casetas,6
"paso (fiestas, religión)",paso,6
"belleza (característica, general)",pretty,5
"malo (característica, general)",bad,5
"viaje  (característica, general)",trip,5
"viaje  (característica, general)",journey,5
"viajero (característica, general)",tourist,5
"virgen  (característica, general)",santa,5
"caridad  (característica, personalidad)",charity,5
"hospitalario (característica, personalidad)",hospitality,5
"señora (género, femenino)",senorita,5
"árabe (grupos, externo)",arabian,5
"moro (grupos, externo)",moor,5
"semana santa  (fiestas, religión)",passion week,5
"expectación (característica, general)",expectation,4
"camino  (característica, general)",roads,4
"camino  (característica, general)",path,4
"santo/a  (característica, general)",saint,4
"orgullO/so (característica, general)",pride,4
"pintoresco (característica, general)",picturesque,4
"guapo (característica, personalidad)",handsome,4
"guardia civil (oficio, seguridad)",civil guard,4
"musulmán (grupos, externo)",moslem,4
"baile (fiestas, feria y carnaval)",dance,4
"corpus christi  (fiestas, religión)",corpus christi,4
"cofradia (fiestas, religión)",cofradias,4
"corrida/toreo (fiestas, toreo)",corrida,4
"ira  (característica, general)",anger,3
"sorpresa  (característica, general)",surprise,3
"calor  (característica, general)",heat,3
"calor  (característica, general)",sunny,3
"frío (característica, general)",cold,3
"viaje  (característica, general)",travel,3
"virgen  (característica, general)",virgen,3
"tradición (característica, general)",tradition,3
"divertido (característica, general)",fun,3
"señor (género, masculino)",gentlemen,3
"señor (género, masculino)",caballero,3
"cigarrera (oficio, campo y ciudad)",cigarette-makers,3
"hacedor (oficio, campo y ciudad)",makers,3
"árabe (grupos, externo)",arab,3
