principal,variantes,menciones
alhambra,alhambra,31
catedral,cathedral,27
iglesia,church,24
casa,house,24
calles,streets,22
tren,train,22
calle,street,16
murallas,walls,13
camino,road,13
Carruaje,carriage,11
rio,river,11
casas,houses,10
tabaco,cigarette,10
muralla,wall,9
puente,bridge,9
guadalquivir,guadalquivir,9
mar,sea,9
capilla,chapel,8
mezquita,mosque,8
palacio,palace,8
ciudad,town,8
teatro,theatre,8
camino,route,8
montaña,mountain,8
giralda,giralda,7
vino,wine,7
iglesias,churches,6
plaza,square,6
albaicín,albaicin,5
patio,court,5
patio,patios,5
cigarros,cigarettes,5
viaje,trip,5
viaje,journey,5
sur,south,5
mercado,market,4
jardín,garden,4
cementerio,cemetery,4
caminos,roads,4
sendero,path,4
Carruajes,carriages,4
sierra nevada,sierra nevada,4
montañas,mountains,4
torre del oro,golden tower,3
alcázar,alcazar,3
castillos,castles,3
triana,triana,3
posada,inn,3
circo,circus,3
tabaco,tobacco,3
patio de los naranjos,court of oranges,2
palacios,palaces,2
puerto,port,2
puertos,ports,2
ruina,ruin,2
tajo,gorge,2
casa,dwelling,2
ciudades,towns,2
parque,parks,2
patios,courts,2
patio,patio,2
cobre,copper,2
aceite,oil,2
trenes,trains,2
darro,darro,2
del sur,southern,2
itálica,italica,1
castillo,castle,1
puentes,bridges,1
ruinas,ruins,1
barrio,quarter,1
casas,dwellings,1
pueblo,village,1
judería,jewish,1
parque,park,1
posadas,inns,1
teatro,teatro,1
hospital,hospital,1
mina,mine,1
minas,mine,1
cantaro,water-jars,1
vino,sherry,1
diligencia,diligence,1
a caballo,on horseback,1
ferrocarril,railway,1
sierra morena,sierra morena,1
