principal,variantes,menciones
sevilla (Sevilla),seville,64
granada (Granada),granada,48
andaluz (gentilicio),andalusian,32
andalucia (comunidad),andalusia,26
cádiz (Cádiz),cadiz,21
córdoba  (Córdoba),cordova,14
ronda (Málaga),ronda,7
sevillano (gentilicio),sevillian,7
andaluz (gentilicio),andalusians,6
jerez de la frontera (Cádiz),jerez,5
sanlúcar de barrameda (Cádiz),san lucar,4
granadino (gentilicio),granadine,3
granadino (gentilicio),granadines,3
san fernando (Cádiz),san fernando,2
málaga (Málaga),malaga,2
el puerto de santa maría (Cádiz),puerto de santa maria,1
jerez de la frontera (Cádiz),sherry,1
guadix (Granada),guadix,1
écija (Sevilla),ecija,1
sevillana (gentilicio),sevillana,1
sevillano (gentilicio),sevillians,1
