principal,variantes,menciones
"mendigo (grupos, interno)",beggars,17
"belleza (característica, general)",beautiful,16
"belleza (característica, general)",beauty,14
"moro (grupos, externo)",moorish,14
"mujer (género, femenino)",women,13
"rico (característica, general)",rich,10
"moro (grupos, externo)",moors,10
"amor  (característica, general)",love,9
"camino  (característica, general)",road,9
"pintoresco (característica, general)",picturesque,8
"hombre (género, masculino)",man,8
"hombre (género, masculino)",men,8
"viajero (característica, general)",traveller,7
"viaje  (característica, general)",journey,6
"encantador (característica, personalidad)",delightful,6
"chica (género, femenino)",girls,6
"chico (género, masculino)",boys,6
"árabe (grupos, externo)",arabian,6
"árabe (grupos, externo)",arab,5
"baile (fiestas, feria y carnaval)",dance,5
"maravilloso (característica, general)",marvellous,4
"dios (característica, general)",god,4
"delicioso (característica, general)",delicious,4
"religioso  (característica, personalidad)",religious,4
"guapo (característica, personalidad)",handsome,4
"feria  (fiestas, feria y carnaval)",fair,4
"bueno (característica, general)",good,3
"malo (característica, general)",bad,3
"calor  (característica, general)",sunny,3
"camino  (característica, general)",roads,3
"camino  (característica, general)",route,3
"santo  (característica, general)",san,3
"chico (género, masculino)",boy,3
"señor (género, masculino)",don,3
"arriero (oficio, campo y ciudad)",muleteer,3
"mendigo (grupos, interno)",beggar,3
"ilusión (característica, general)",hope,2
"maravilloso (característica, general)",amazing,2
"calor  (característica, general)",heat,2
"camino  (característica, general)",path,2
"viaje  (característica, general)",travel,2
"viajero (característica, general)",travellers,2
"pobre (característica, general)",poor,2
"orgullO/so (característica, general)",proud,2
"tradición (característica, general)",custom,2
"banderillero  (oficio, toreo)",banderilleros,2
"gitano (grupos, interno)",gipsy,2
"árabe (grupos, externo)",arabs,2
"corpus christi  (fiestas, religión)",corpus christi,2
"procesión (fiestas, religión)",procession,2
"belleza (característica, general)",pretty,1
"desilusión (característica, general)",disillusionment,1
"maravilloso (característica, general)",wonderful,1
"terrible (característica, general)",terrible,1
"sorpresa  (característica, general)",surprise,1
"calor  (característica, general)",hot,1
"frío (característica, general)",cold,1
"camino  (característica, general)",highways,1
"viajero (característica, general)",tourist,1
"virgen  (característica, general)",virgin,1
"orgullO/so (característica, general)",pride,1
"exagerado (característica, personalidad)",exaggerated,1
"chulo (característica, personalidad)",chulos,1
"majo (característica, personalidad)",majo,1
"maja (característica, personalidad)",maja,1
"siesta  (característica, personalidad)",siesta,1
"siesta  (característica, personalidad)",siestas,1
"chica (género, femenino)",girl,1
"señora (género, femenino)",ladies,1
"señora (género, femenino)",señorita,1
"chico (género, masculino)",chico,1
"señor (género, masculino)",gentleman,1
"señor (género, masculino)",caballero,1
"señor (género, masculino)",señor,1
"hacedor (oficio, campo y ciudad)",makers,1
"pescador (oficio, campo y ciudad)",fishers,1
"pastor (oficio, campo y ciudad)",shepherd,1
"torero  (oficio, toreo)",toreros,1
"matador (oficio, toreo)",matador,1
"banderillero  (oficio, toreo)",banderillero,1
"guardia civil (oficio, seguridad)",civil guard,1
"policia (oficio, seguridad)",police,1
"gitano (grupos, interno)",gipsies,1
"gitano (grupos, interno)",gitanos,1
"vagabundo (grupos, interno)",tramp,1
"vagabundo (grupos, interno)",vagabonds,1
"oriental (grupos, externo)",oriental,1
"semana santa  (fiestas, religión)",holy week,1
"corrida/toreo (fiestas, toreo)",corrida,1
"corrida/toreo (fiestas, toreo)",bull-fighting,1
