principal,variantes,menciones
sevilla (Sevilla),seville,53
granada (Granada),granada,43
jaén (Jaén),jaen,9
ronda (Málaga),ronda,8
andalucia (comunidad),andalusia,5
córdoba  (Córdoba),cordova,5
Antequera-bobadilla (Málaga),bobadilla,5
andaluz (gentilicio),andalusian,4
algeciras (Cádiz),algeciras,4
san fernando (Cádiz),san fernando,4
málaga (Málaga),malaga,4
sevillana (gentilicio),sevillana,4
sevillano (gentilicio),sevillanos,2
andaluz (gentilicio),andalusians,1
cádiz (Cádiz),cadiz,1
jerez de la frontera (Cádiz),sherry,1
