principal,variantes,menciones
"toro (viaje, animal)",bull,102
"montaña  (espacio natural, común)",mountains,45
"ciudad (público,común)",town,38
"sol (espacio natural, común)",sun,27
"plaza (público,común)",plaza,23
"tren (viaje, transporte)",train,22
"alhambra (monumento, propio)",alhambra,21
"montaña  (espacio natural, común)",mountain,20
"calle (público,común)",street,19
"patio (público,común)",court,19
"hotel (consumo, establecimiento)",hotel,19
"catedral (monumento, común)",cathedral,17
"mula (viaje, animal)",mule,16
"calle (público,común)",streets,15
"pueblo (público,común)",village,14
"peseta (consumo, objeto)",pesetas,14
"vino (consumo, alimentación)",wine,12
"tabaco (consumo, alimentación)",cigarette,11
"jardín (público,común)",garden,10
"mulhacén  (espacio natural, propio)",muley hassan,10
"cárcel (público,común)",gaol,9
"tabaco (consumo, alimentación)",cigarettes,9
"mula (viaje, animal)",mules,9
"posada (consumo, establecimiento)",posada,8
"toro (viaje, animal)",bulls,8
"ferrocarril (viaje, transporte)",railway,7
"calle (público,común)",calle,6
"casa (público,común)",house,6
"patio (público,común)",patio,6
"plaza (público,común)",square,6
"posada (consumo, establecimiento)",inn,6
"fonda (consumo, establecimiento)",fonda,6
"rio  (espacio natural, común)",river,6
"del sur  (espacio natural, común)",south,6
"iglesia (monumento, común)",church,5
"puente (monumento, común)",puente,5
"casa (público,común)",houses,5
"aguardiente (consumo, alimentación)",aguardiente,5
"tren (viaje, transporte)",trains,5
"caballo (viaje, animal)",horse,5
"guadalevín  (espacio natural, propio)",guadalevin,5
"sierra nevada  (espacio natural, propio)",sierra nevada,5
"mar  (espacio natural, común)",sea,5
"patio (público,común)",courts,4
"peseta (consumo, objeto)",peseta,4
"guitarra  (consumo, objeto)",guitar,4
"Carruaje (viaje, transporte)",carriage,4
"mina (espacio natural, común)",mine,4
"muralla (monumento, común)",wall,3
"palacio (monumento, común)",palace,3
"sierpes (público,propio)",sierpes,3
"barrio (público,común)",quarter,3
"ciudad (público,común)",towns,3
"patio (público,común)",patios,3
"teatro (público,común)",theatre,3
"plaza de toros (público,común)",bull-ring,3
"café  (consumo, alimentación)",coffee,3
"toro (viaje, animal)",toro,3
"toro (viaje, animal)",toros,3
"caballo (viaje, animal)",horses,3
"plaza san fernando (público,propio)",plaza san fernando,2
"casco histórico (público,común)",old town,2
"pueblo (público,común)",villages,2
"parque (público,común)",park,2
"plaza de toros (público,común)",plaza de toros,2
"fuente (consumo, objeto)",fountain,2
"mantilla  (consumo, objeto)",mantilla,2
"uva (consumo, alimentación)",grapes,2
"guadalquivir  (espacio natural, propio)",guadalquivir,2
"catedral (monumento, común)",cathedrals,1
"puente (monumento, común)",bridge,1
"puerto (monumento, común)",puerto,1
"ruina (monumento, común)",ruin,1
"ruina (monumento, común)",ruins,1
"triana (público,propio)",triana,1
"casa (público,común)",dwelling,1
"pueblo (público,común)",pueblo,1
"patio (público,común)",courtyard,1
"plaza (público,común)",plazas,1
"circo (público,común)",circo,1
"teatro (público,común)",teatro,1
"molino (consumo, objeto)",mill,1
"molino (consumo, objeto)",molinos,1
"fuente (consumo, objeto)",fountains,1
"capa española (consumo, objeto)",cloak,1
"mantilla  (consumo, objeto)",shawl,1
"vino (consumo, alimentación)",wines,1
"vino (consumo, alimentación)",sherry,1
"aceite (consumo, alimentación)",oil,1
"uva (consumo, alimentación)",grape,1
"mulhacén  (espacio natural, propio)",mulhacen,1
"mina (espacio natural, común)",mining,1
