principal,variantes,menciones
"hombre (género, masculino)",man,80
"bueno (característica, general)",good,46
"mujer (género, femenino)",woman,46
"amor  (característica, general)",love,43
"hombre (género, masculino)",men,40
"moro (grupos, externo)",moorish,40
"mujer (género, femenino)",women,39
"señor (género, masculino)",don,28
"belleza (característica, general)",beautiful,27
"belleza (característica, general)",beauty,23
"frío (característica, general)",cold,22
"dios (característica, general)",god,22
"moro (grupos, externo)",moors,21
"rico (característica, general)",rich,20
"pobre (característica, general)",poor,19
"señora (género, femenino)",lady,19
"baile (fiestas, feria y carnaval)",dance,19
"chica (género, femenino)",girl,17
"chica (género, femenino)",girls,17
"camino  (característica, general)",road,15
"virgen  (característica, general)",virgin,14
"oriental (grupos, externo)",oriental,14
"viajero (característica, general)",traveller,12
"aguador (oficio, campo y ciudad)",aguador,12
"matador (oficio, toreo)",matador,12
"feria  (fiestas, feria y carnaval)",fair,12
"calor  (característica, general)",heat,11
"pintoresco (característica, general)",picturesque,11
"religioso  (característica, personalidad)",religious,11
"chico (género, masculino)",boys,11
"camino  (característica, general)",path,10
"santo/a  (característica, general)",saint,10
"guapo (característica, personalidad)",handsome,10
"belleza (característica, general)",pretty,9
"mendigo (grupos, interno)",beggars,9
"corrida/toreo (fiestas, toreo)",bull-fight,9
"terrible (característica, general)",terrible,8
"virgen  (característica, general)",santa,8
"campesino (oficio, campo y ciudad)",peasant,8
"árabe (grupos, externo)",arab,8
"alegría  (característica, general)",joy,7
"calor  (característica, general)",hot,7
"viajero (característica, general)",travellers,7
"dios (característica, general)",dios,7
"encantador (característica, personalidad)",delightful,7
"señora (género, femenino)",ladies,7
"maravilloso (característica, general)",wonderful,6
"calor  (característica, general)",warmth,6
"viaje  (característica, general)",journey,6
"ole (característica, general)",ole,6
"chico (género, masculino)",boy,6
"picador  (oficio, toreo)",picador,6
"picador  (oficio, toreo)",picadors,6
"mendigo (grupos, interno)",beggar,6
"moro (grupos, externo)",moor,6
"malo (característica, general)",bad,5
"santo  (característica, general)",san,5
"orgullO/so (característica, general)",pride,5
"árabe (grupos, externo)",arabic,5
"ilusión (característica, general)",hope,4
"aburrido (característica, general)",bored,4
"miedo  (característica, general)",fear,4
"camino  (característica, general)",highway,4
"orgullO/so (característica, general)",proud,4
"tradición (característica, general)",custom,4
"fiesta (característica, general)",feast,4
"alegre-amable (característica, personalidad)",friendly,4
"caridad  (característica, personalidad)",charity,4
"torero  (oficio, toreo)",toreros,4
"gitano (grupos, interno)",gipsy,4
"árabe (grupos, externo)",arabian,4
"maravilloso (característica, general)",amazing,3
"odio  (característica, general)",hate,3
"caridad  (característica, personalidad)",charitable,3
"honestidad (característica, personalidad)",honest,3
