principal,variantes,menciones
sevilla (Sevilla),seville,72
andalucia (comunidad),andalusia,39
córdoba  (Córdoba),cordova,21
andaluz (gentilicio),andalusians,18
andaluz (gentilicio),andalusian,17
granada (Granada),granada,17
ronda (Málaga),ronda,16
cádiz (Cádiz),cadiz,13
jerez de la frontera (Cádiz),jerez,13
écija (Sevilla),ecija,13
marchena (Sevilla),marchena,10
málaga (Málaga),malaga,9
carmona (Sevilla),carmona,8
sevillano (gentilicio),sevillan,5
malagueña (gentilicio),malagueña,4
mairena (Sevilla),mairena,4
sevillano (gentilicio),sevillans,3
andaluz (gentilicio),andaluz,2
algeciras (Cádiz),algeciras,1
san fernando (Cádiz),san fernando,1
jerez de la frontera (Cádiz),sherry,1
córdoba  (Córdoba),cordoba,1
cordobese (gentilicio),cordovan,1
cordobese (gentilicio),cordovese,1
sevilla (Sevilla),sevilla,1
sevillano (gentilicio),sevillian,1
