principal,variantes,menciones
sevilla (Sevilla),seville,91
granada (Granada),granada,89
córdoba  (Córdoba),cordova,41
andalucia (comunidad),andalusia,27
cádiz (Cádiz),cadiz,25
andaluz (gentilicio),andalusian,15
málaga (Málaga),malaga,12
ronda (Málaga),ronda,9
almería,almeria,5
algeciras (Cádiz),algeciras,5
andaluz (gentilicio),andalusians,4
jerez de la frontera (Cádiz),jerez,4
guadix (Granada),guadix,4
tarifa (Cádiz),tarifa,2
cordobese (gentilicio),cordovan,2
almuñecar (Granada),almuñecar,2
baza (Granada),baza,2
granadino (gentilicio),granadine,2
granadino (gentilicio),granadines,2
jaén (Jaén),jaen,2
marbella (Málaga),marbella,2
carmona (Sevilla),carmona,2
lebrija (Sevilla),lebrija,2
sevillano (gentilicio),sevillian,2
utrera (Sevilla),utrera,2
adra (Almería),adra,1
barbate (Cádiz),barbate,1
el puerto de santa maría (Cádiz),puerto santa maria,1
jerez de la frontera (Cádiz),sherry,1
córdoba  (Córdoba),cordoba,1
cordobese (gentilicio),cordovans,1
loja (Granada),loja,1
motril (Granada),motril,1
ayamonte (Huelva),ayamonte,1
huelva,huelva,1
martos (Jaén),martos,1
antequera-bobadilla (Málaga),antequera,1
Antequera-bobadilla (Málaga),bobadilla,1
alcalá de guadaira (Sevilla),alcala de guadaira,1
moron de la frontera (Sevilla),moron,1
sevillano (gentilicio),sevillano,1
sevillano (gentilicio),sevillanos,1
sevillano (gentilicio),sevillians,1
