principal,variantes,menciones
guitarra,guitar,24
andaluz,andalusian,21
hombre,man,8
hombres,men,8
pobre,poor,7
flamenco,flamenco,7
corrida,corrida,7
corrida,bullfight,7
mujeres,women,6
feria,fair,6
caridad,charity,5
picador,picador,5
sol,sun,4
barbero,barber,4
moros,moors,4
carnaval,carnival,4
mantilla,mantilla,4
vendedores,sellers,3
sevillana,sevillanas,3
mujeres,ladies,3
hombre,senor,3
copla,copla,3
pintoresco,picturesque,2
belleza,beauty,2
generoso,generous,2
juerga,juerga,2
ganadero,ganadero,2
malagueñas,malaguenas,2
sevillano,sevillian,2
carmen,carmen,2
cantaor,cantaor,2
cantaores,cantaores,2
cantaora,cantaora,2
gitanos,gypsies,2
mujer,woman,2
árabe,arabic,2
moro,moor,2
moro,moorish,2
baile,dance,2
tertulia,conversation,2
mantilla,shawl,2
bellezas,beauties,1
delicioso,delicious,1
encantador,delightful,1
honesto,honest,1
hospitalidad,hospitality,1
orgulloso,proud,1
religioso,religious,1
tradición,custom,1
ganaderos,breeders,1
ganadero,miura,1
malagueña,malaguena,1
campesino,peasant,1
cantaoras,cantaoras,1
hombre,boy,1
hombres,gentlemen,1
hombre,gentleman,1
árabe,arab,1
bolero,bolero,1
fandango,fandango,1
carnaval,carnaval,1
murga,murga,1
fiesta,fiesta,1
procesión,pageant,1
virgen,virgin,1
toreo,bullfighting,1
corridas,bullfights,1
tendido,tendido,1
banderillero,banderillero,1
cuadrilla,cuadrilla,1
capa,capa,1
mantillas,mantillas,1
