principal,variantes,menciones
calles,streets,9
ciudad,town,6
plaza,plaza,6
mar,sea,5
montañas,mountains,5
muralla,wall,4
calle,street,4
casa,house,4
botijo,botijo,4
vino,wine,4
montaña,mountain,4
sur,south,4
castillo,castle,3
barrios,quarters,3
taberna,tavern,3
camino,highway,3
del sur,southern,3
alcázar,alcazar,2
castillos,castles,2
iglesia,church,2
puente,bridge,2
calle,calle,2
ciudades,towns,2
pueblo,village,2
hospital,hospital,2
aceite,oil,2
giralda,giralda,1
iglesias,churches,1
mezquita,mosque,1
murallas,walls,1
puerto,port,1
ruina,ruin,1
barrio,quarter,1
barrio,barrio,1
casas,houses,1
casas,dwellings,1
casa,casa,1
ciudad,ciudad,1
cortijo,farm,1
mercado,market,1
patio,court,1
patios,courts,1
teatro,theatre,1
teattro,theatres,1
aguardiente,aguardiente,1
barreño,barreno,1
trabuco,trabuco,1
alforja,alforja,1
camino,road,1
caminos,roads,1
viaje,journey,1
Carruaje,carriage,1
Carruajes,carriages,1
ferrocarril,railway,1
tren,train,1
rio,river,1
rio,rio,1
