principal,variantes,menciones
belleza,beauty,14
moro,moorish,14
mujeres,women,13
sol,sun,10
moros,moors,10
pintoresco,picturesque,8
encantador,delightful,6
andaluz,andalusian,6
mujeres,girls,6
árabe,arabian,6
árabe,arab,5
baile,dance,5
delicioso,delicious,4
religioso,religious,4
feria,fair,4
arriero,muleteer,3
mendigo,beggar,3
calor,heat,2
pobre,poor,2
orgulloso,proud,2
tradición,custom,2
corpus christi,corpus christi,2
procesión,procession,2
calor,hot,1
exagerado,exaggerated,1
orgullo,pride,1
siesta,siesta,1
hacedores,makers,1
pastor,shepherd,1
cordobés,cordovan,1
sevillano,sevillian,1
carmen,carmen,1
guardia civil,civil guard,1
gitano,gitanos,1
majo,majo,1
maja,maja,1
vagabundo,tramp,1
mujer,girl,1
mujer,señorita,1
semana santa,holy week,1
virgen,virgin,1
toreo,bull-fighting,1
cafés,cafés,1
mantillas,mantillas,1
