principal,variantes,menciones
sevilla (Sevilla),seville,33
córdoba  (Córdoba),cordova,24
granada (Granada),granada,18
cádiz (Cádiz),cadiz,15
málaga (Málaga),malaga,13
río tinto (Huelva),rio tinto,9
huércal-overa  (Almería),huercal,7
andalucia (comunidad),andalusia,6
andaluz (gentilicio),andalusian,6
Tharsis (Huelva),tharsis,5
jaén (Jaén),jaén,5
almería,almeria,4
huelva,huelva,4
ronda (Málaga),ronda,4
sevillano (gentilicio),sevillians,4
sevilla (Sevilla),sevilla,3
andalucia (comunidad),andalucia,2
huércal-overa  (Almería),overa,2
bailén (Jaén),bailen,2
andaluz (gentilicio),andalusians,1
cordobese (gentilicio),cordovan,1
loja (Granada),loja,1
baeza (Jaén),baeza,1
jaén (Jaén),jaen,1
sevillano (gentilicio),sevillian,1
