principal,variantes,menciones
cobre,copper,34
alhambra,alhambra,27
calles,streets,22
catedral,cathedral,21
murallas,walls,19
palacio,palace,17
ciudad,town,17
minería,mining,15
mina,mine,14
minas,mine,14
casas,houses,13
ferrocarril,railway,13
tren,train,10
rio,rio,10
mezquita,mosque,9
casa,house,9
jardín,garden,9
camino,road,9
montaña,mountain,9
barrio,quarter,7
sur,south,7
muralla,wall,6
ruinas,ruins,6
patio,court,6
alcázar,alcázar,5
mar,sea,5
iglesia,church,4
puente,bridge,4
ciudades,towns,4
mercado,market,4
patios,courts,4
plaza,square,4
diligencia,carriage,4
sierra nevada,sierra nevada,4
montañas,mountains,4
del sur,southern,4
castillo,castle,3
barrios,quarters,3
calle,street,3
pueblo,village,3
patio,courtyard,3
patio,patios,3
caminos,roads,3
camino,route,3
ferrocarril,railroad,3
trenes,trains,3
darro,darro,3
sierra morena,sierra morena,3
rio,river,3
generalife,generalife,2
giralda,giralda,2
ciudad,ciudad,2
mercados,markets,2
parque,park,2
teatro,theatre,2
tabaco,tobacco,2
ferrocarriles,railways,2
itálica,italica,1
castillo,castillo,1
catedrales,cathedrals,1
claustro,cloister,1
mezquita,mezquita,1
palacios,palaces,1
palacio,palacio,1
puerto,harbour,1
puerto,port,1
tajo,gorge,1
casa,dwelling,1
casas,dwellings,1
casco histórico,old town,1
pueblos,villages,1
judería,jewish,1
plaza,plaza,1
cementerio,cemetery,1
vino,wine,1
cigarros,cigarettes,1
caminos,highways,1
diligencia,diligence,1
ferrocarril,railroads,1
genil,genil,1
