principal,variantes,menciones
"mina (espacio natural, común)",mines,38
"cobre (espacio natural, común)",copper,34
"ciudad (público,común)",city,33
"alhambra (monumento, propio)",alhambra,27
"calle (público,común)",streets,22
"catedral (monumento, común)",cathedral,21
"muralla (monumento, común)",walls,19
"palacio (monumento, común)",palace,17
"ciudad (público,común)",town,17
"mina (espacio natural, común)",mining,15
"mina (espacio natural, común)",mine,14
"casa (público,común)",houses,13
"ferrocarril (viaje, transporte)",railway,13
"tren (viaje, transporte)",train,10
"sol (espacio natural, común)",sun,10
"rio  (espacio natural, común)",rio,10
"mezquita (monumento, propio)",mosque,9
"casa (público,común)",house,9
"jardín (público,común)",garden,9
"patio (público,común)",patios,9
"toro (viaje, animal)",bull,9
"montaña  (espacio natural, común)",mountain,9
"barrio (público,común)",quarter,7
"ciudad (público,común)",cities,7
"del sur  (espacio natural, común)",south,7
"muralla (monumento, común)",wall,6
"ruina (monumento, común)",ruins,6
"patio (público,común)",court,6
"alcázar (monumento, propio)",alcázar,5
"mar  (espacio natural, común)",sea,5
"iglesia (monumento, común)",church,4
"puente (monumento, común)",bridge,4
"ciudad (público,común)",towns,4
"patio (público,común)",courts,4
"patio (público,común)",patio,4
"plaza (público,común)",square,4
"plaza (público,común)",squares,4
"paseo (público,común)",promenades,4
"fuente (consumo, objeto)",fountain,4
"fuente (consumo, objeto)",fountains,4
"mercado (consumo, establecimiento)",market,4
"hotel (consumo, establecimiento)",hotel,4
"Carruaje (viaje, transporte)",carriage,4
"sierra nevada  (espacio natural, propio)",sierra nevada,4
"montaña  (espacio natural, común)",mountains,4
"del sur  (espacio natural, común)",southern,4
"castillo (monumento, común)",castle,3
"barrio (público,común)",quarters,3
"calle (público,común)",street,3
"pueblo (público,común)",village,3
"patio (público,común)",courtyard,3
"ferrocarril (viaje, transporte)",railroad,3
"tren (viaje, transporte)",trains,3
"caballo (viaje, animal)",horses,3
"mula (viaje, animal)",mules,3
"darro  (espacio natural, propio)",darro,3
"sierra morena  (espacio natural, propio)",sierra morena,3
"rio  (espacio natural, común)",river,3
"generalife (monumento, propio)",generalife,2
"giralda (monumento, propio)",giralda,2
"capilla (monumento, común)",chapels,2
"albaicín (público,propio)",albaycin,2
"ciudad (público,común)",ciudad,2
"parque (público,común)",park,2
"plaza (público,común)",plaza,2
"teatro (público,común)",theatre,2
"peseta (consumo, objeto)",peseta,2
"tabaco (consumo, alimentación)",tobacco,2
"tabaco (consumo, alimentación)",tabacos,2
"mercado (consumo, establecimiento)",markets,2
"ferrocarril (viaje, transporte)",railways,2
"itálica (monumento, propio)",italica,1
"patio los naranjos (monumento, propio)",patio de los naranjos,1
"mezquita (monumento, propio)",mezquita,1
"castillo (monumento, común)",castillo,1
"catedral (monumento, común)",cathedrals,1
"claustro (monumento, común)",cloister,1
"claustro (monumento, común)",cloister,1
"palacio (monumento, común)",palaces,1
"palacio (monumento, común)",palacio,1
"puerto (monumento, común)",harbour,1
"puerto (monumento, común)",port,1
"sacromonte (público,propio)",montesacro,1
"sierpes (público,propio)",sierpes,1
"calle (público,común)",calle,1
"casa (público,común)",dwelling,1
"casa (público,común)",dwellings,1
"casco histórico (público,común)",old town,1
"pueblo (público,común)",villages,1
"cementerio (público,común)",cemetery,1
"plaza de toros (público,común)",bull-ring,1
"plaza de toros (público,común)",plaza de toros,1
"peseta (consumo, objeto)",pesetas,1
"guitarra  (consumo, objeto)",guitars,1
"mantilla  (consumo, objeto)",mantillas,1
"vino (consumo, alimentación)",wine,1
"vino (consumo, alimentación)",wines,1
"tabaco (consumo, alimentación)",cigarettes,1
"café  (consumo, alimentación)",cafés,1
"uva (consumo, alimentación)",grapes,1
"fonda (consumo, establecimiento)",fondas,1
"diligencia (viaje, transporte)",diligence,1
"ferrocarril (viaje, transporte)",railroads,1
"toro (viaje, animal)",toros,1
"caballo (viaje, animal)",horse,1
"burro (viaje, animal)",donkey,1
"burro (viaje, animal)",donkeys,1
"mula (viaje, animal)",mule,1
"genil  (espacio natural, propio)",genil,1
