principal,variantes,menciones
"hombre (género, masculino)",man,125
"hombre (género, masculino)",men,54
"bueno (característica, general)",good,37
"camino  (característica, general)",road,32
"mujer (género, femenino)",women,32
"maravilloso (característica, general)",wonderful,29
"baile (fiestas, feria y carnaval)",dance,29
"matador (oficio, toreo)",matador,27
"belleza (característica, general)",beautiful,26
"mujer (género, femenino)",woman,19
"señor (género, masculino)",don,19
"calor  (característica, general)",heat,14
"calor  (característica, general)",hot,14
"viaje  (característica, general)",journey,14
"sereno (oficio, seguridad)",serenos,13
"mendigo (grupos, interno)",beggars,12
"moro (grupos, externo)",moors,12
"belleza (característica, general)",beauty,11
"chica (género, femenino)",girls,11
"viajero (característica, general)",tourist,10
"torero  (oficio, toreo)",toreros,9
"vagabundo (grupos, interno)",tramp,9
"malo (característica, general)",bad,8
"chico (género, masculino)",boy,8
"gitano (grupos, interno)",gipsies,8
"bolero (fiestas, feria y carnaval)",bolero,8
"terrible (característica, general)",terrible,7
"santo  (característica, general)",san,7
"delicioso (característica, general)",delicious,7
"valiente  (característica, personalidad)",brave,7
"miedo  (característica, general)",fear,6
"frío (característica, general)",cold,6
"dios (característica, general)",god,6
"chulo (característica, personalidad)",chulo,6
"sereno (oficio, seguridad)",sereno,6
"policia (oficio, seguridad)",police,6
"moro (grupos, externo)",moorish,6
"alegría  (característica, general)",joy,5
"camino  (característica, general)",roads,5
"pobre (característica, general)",poor,5
"encantador (característica, personalidad)",delightful,5
"señor (género, masculino)",gentleman,5
"señor (género, masculino)",senior,5
"banderillero  (oficio, toreo)",banderillero,5
"feria  (fiestas, feria y carnaval)",fair,5
"corrida/toreo (fiestas, toreo)",bull-fight,5
"confianza (característica, general)",trust,4
"camino  (característica, general)",path,4
"viaje  (característica, general)",travel,4
"viajero (característica, general)",tourists,4
"tradición (característica, general)",custom,4
"pintoresco (característica, general)",picturesque,4
"alegre-amable (característica, personalidad)",friendly,4
"señor (género, masculino)",senor,4
"barbero (oficio, campo y ciudad)",barber,4
"torero  (oficio, toreo)",torero,4
"banderillero  (oficio, toreo)",banderilleros,4
"guardia civil (oficio, seguridad)",guardia civil,4
"ilusión (característica, general)",hope,3
"amor  (característica, general)",love,3
"orgullO/so (característica, general)",proud,3
"honestidad (característica, personalidad)",honesty,3
"señor (género, masculino)",caballero,3
"posadero (oficio, campo y ciudad)",posadero,3
"picador  (oficio, toreo)",picadores,3
"mendigo (grupos, interno)",beggar,3
"moro (grupos, externo)",moor,3
"feo (característica, general)",ugly,2
"maravilloso (característica, general)",marvellous,2
"tristeza (característica, general)",sadness,2
"calor  (característica, general)",warmth,2
"odio  (característica, general)",hate,2
"viajero (característica, general)",traveller,2
"viajero (característica, general)",travellers,2
"fiesta (característica, general)",feast,2
"simpático  (característica, personalidad)",sympathetic,2
"honestidad (característica, personalidad)",honest,2
"cobarde  (característica, personalidad)",cowardly,2
"señora (género, femenino)",ladies,2
"señora (género, femenino)",lady,2
"señora (género, femenino)",seniora,2
"barbero (oficio, campo y ciudad)",barbers,2
"cigarrera (oficio, campo y ciudad)",cigarrera,2
"picador  (oficio, toreo)",picador,2
"sereno (oficio, seguridad)",watchmen,2
"alguacil (oficio, seguridad)",bailiff,2
"gitano (grupos, interno)",gipsy,2
"vagabundo (grupos, interno)",tramps,2
"terrible (característica, general)",awful,1
"asco (característica, general)",dislike,1
"positivo  (característica, general)",positive,1
"calor  (característica, general)",sunny,1
"tertulia  (característica, general)",gathering,1
"viaje  (característica, general)",journeys,1
"viaje  (característica, general)",travels,1
"virgen  (característica, general)",virgin,1
"divertido (característica, general)",funny,1
"religioso  (característica, personalidad)",religious,1
"fiable (característica, personalidad)",reliable,1
"chulo (característica, personalidad)",chulos,1
"hospitalario (característica, personalidad)",hospitable,1
"siesta  (característica, personalidad)",siesta,1
"violento  (característica, personalidad)",violent,1
"guapo (característica, personalidad)",handsome,1
"chica (género, femenino)",girl,1
"señora (género, femenino)",senorita,1
"señora (género, femenino)",senora,1
"hombre (género, masculino)",hombre,1
"señor (género, masculino)",gentlemen,1
"barbero (oficio, campo y ciudad)",barbero,1
"guardia civil (oficio, seguridad)",guardias civiles,1
"guardia civil (oficio, seguridad)",civil guard,1
"alguacil (oficio, seguridad)",alguacil,1
"alguacil (oficio, seguridad)",alguaciles,1
"árabe (grupos, externo)",arab,1
"malagueñas (fiestas, feria y carnaval)",malaguenas,1
"procesión (fiestas, religión)",procession,1
"corrida/toreo (fiestas, toreo)",bull-fighting,1
