principal,variantes,menciones
hombre,man,125
hombres,men,54
mujeres,women,32
baile,dance,29
sol,sun,27
mujer,woman,19
calor,heat,14
calor,hot,14
moros,moors,12
belleza,beauty,11
mujeres,girls,11
vagabundo,tramp,9
toreros,toreros,9
hombre,boy,8
bolero,bolero,8
delicioso,delicious,7
valiente,brave,7
tertulia,conversation,7
chulo,chulo,6
sereno,sereno,6
moro,moorish,6
encantador,delightful,5
pobre,poor,5
hombre,gentleman,5
feria,fair,5
corrida,bull-fight,5
banderillero,banderillero,5
pintoresco,picturesque,4
amable,friendly,4
tradición,custom,4
barbero,barber,4
andaluz,andalusian,4
sevillana,sevillana,4
guardia civil,guardia civil,4
torero,torero,4
banderrilleros,banderilleros,4
guitarra,guitar,4
honestidad,honesty,3
orgulloso,proud,3
posadero,posadero,3
mendigo,beggar,3
moro,moor,3
café,coffee,3
honesto,honest,2
alguacil,bailiff,2
barberos,barbers,2
cigarrera,cigarrera,2
serenos,watchmen,2
mujeres,ladies,2
mujer,lady,2
fiesta,feast,2
picador,picador,2
mantilla,mantilla,2
fiable,reliable,1
chulos,chulos,1
religioso,religious,1
siesta,siesta,1
violento,violent,1
alguacil,alguacil,1
barbero,barbero,1
malagueñas,malaguenas,1
guardia civil,civil guard,1
mujer,girl,1
hombres,gentlemen,1
hombre,hombre,1
hombre,senor,1
árabe,arab,1
procesión,procession,1
virgen,virgin,1
toreo,bull-fighting,1
tertulia,gathering,1
mantilla,shawl,1
