principal,variantes,menciones
montañas,mountains,45
ciudad,town,38
camino,road,32
plaza,plaza,23
tren,train,22
alhambra,alhambra,21
montaña,mountain,20
calle,street,19
patio,court,19
catedral,cathedral,17
calles,streets,15
pueblo,village,14
viaje,journey,14
vino,wine,12
tabaco,cigarette,11
jardín,garden,10
mulhacén,muley hassan,10
cárcel,gaol,9
cigarros,cigarettes,9
posada,posada,8
ferrocarril,railway,7
calle,calle,6
casa,house,6
patio,patio,6
plaza,square,6
posada,inn,6
rio,river,6
sur,south,6
iglesia,church,5
puente,puente,5
tajo,gorge,5
casas,houses,5
aguardiente,aguardiente,5
caminos,roads,5
trenes,trains,5
guadalevín,guadalevin,5
sierra nevada,sierra nevada,5
mar,sea,5
patios,courts,4
mina,mine,4
minas,mine,4
sendero,path,4
Carruaje,carriage,4
muralla,wall,3
palacio,palace,3
sierpes,sierpes,3
barrio,quarter,3
ciudades,towns,3
patio,patios,3
teatro,theatre,3
casco histórico,old town,2
pueblos,villages,2
parque,park,2
guadalquivir,guadalquivir,2
catedrales,cathedrals,1
puente,bridge,1
puerto,puerto,1
ruina,ruin,1
ruinas,ruins,1
triana,triana,1
casa,dwelling,1
pueblo,pueblo,1
judería,jewish,1
patio,courtyard,1
circo,circo,1
teatro,teatro,1
minería,mining,1
molino,mill,1
vino,sherry,1
aceite,oil,1
uva,grape,1
viajes,journeys,1
mulhacén,mulhacen,1
