principal,variantes,menciones
sol,sun,50
mujer,woman,46
moro,moorish,40
mujeres,women,39
belleza,beauty,23
moros,moors,20
pobre,poor,19
mujer,lady,19
baile,dance,19
andaluz,andalusian,17
mujer,girl,17
mujeres,girls,17
virgen,virgin,14
aguador,aguador,12
feria,fair,12
pintoresco,picturesque,11
calor,heat,11
religioso,religious,11
corrida,bull-fight,9
campesino,peasant,8
árabe,arab,8
guitarra,guitar,8
calor,hot,7
encantador,delightful,7
mendigo,beggar,6
moro,moor,6
orgullo,pride,5
sevillano,sevillan,5
árabe,arabic,5
amable,friendly,4
caridad,charity,4
orgulloso,proud,4
tradición,custom,4
fiesta,feast,4
mantilla,shawl,4
honesto,honest,3
perezoso,lazy,3
vendedores,sellers,3
vagabundo,tramp,3
toreo,bull-fighting,3
paseo,promenade,3
alegre,joyful,2
exótico,exotic,2
violento,violent,2
pescador,fisherman,2
pastor,shepherd,2
vendedor,seller,2
andaluz,andaluz,2
carmen,carmen,2
guardia civil,civil guard,2
musulmán,muslim,2
corpus christi,corpus christi,2
procesión,procession,2
semana santa,holy week,2
corrida,corrida,2
corridas,bull-fights,2
tertulia,conversation,2
café,coffee,2
mantillas,shawls,2
alegre,cheerful,1
bellezas,beauties,1
generoso,generous,1
honestidad,honesty,1
patriota,patriotic,1
tradición,tradition,1
hacedor,maker,1
jardinera,gardener,1
sereno,watchman,1
cordobés,cordovan,1
cordobés,cordovese,1
sevillano,sevillian,1
bandolero,bandit,1
bandoleros,bandits,1
mendigo,mendicant,1
paso,paso,1
virgen,virgen,1
tertulia,gathering,1
abanico,fan,1
velo,veil,1
