principal,variantes,menciones
ciudad,town,48
casas,houses,39
iglesia,church,35
calles,streets,31
calle,street,22
murallas,walls,19
casa,house,18
tabaco,cigarette,18
montañas,mountains,18
catedral,cathedral,17
vino,wine,17
patio,court,16
alhambra,alhambra,15
camino,road,15
mar,sea,14
del sur,southern,14
palacio,palace,13
cigarros,cigarettes,13
iglesias,churches,12
mezquita,mosque,12
rio,river,11
muralla,wall,10
sierpes,sierpes,10
jardín,garden,9
guadalquivir,guadalquivir,9
giralda,giralda,8
puente,bridge,8
posada,inn,8
teatro,theatre,8
aceite,oil,8
tren,train,8
a caballo,on horseback,7
hospital,hospital,6
tabaco,tobacco,6
diligencia,carriage,6
alcázar,alcazar,5
capilla,chapel,5
ruina,ruin,5
pueblo,village,5
cortijo,farm,5
plaza,square,5
taberna,tavern,5
ciudades,towns,4
mina,mine,4
minas,mine,4
cobre,copper,4
camino,highway,4
ferrocarril,railway,4
montaña,mountain,4
patio de los naranjos,court of oranges,3
barrio,quarter,3
calle,calle,3
pueblos,villages,3
parque,park,3
patios,courts,3
plaza,plaza,3
cementerio,cemetery,3
cárcel,gaol,3
uva,grape,3
trenes,trains,3
sierra nevada,sierra nevada,3
sur,south,3
generalife,generalife,2
palacios,palaces,2
puerto,harbour,2
posadas,inns,2
tabernas,taverns,2
camino,route,2
diligencia,carriages,2
patio de los leones,court of lions,1
catedrales,cathedrals,1
muralla,rampart,1
puente,puente,1
puerto,port,1
triana,triana,1
barrios,quarters,1
casa,dwelling,1
casas,dwellings,1
casa,casa,1
mercado,market,1
patio,patios,1
vino,sherry,1
caminos,roads,1
camino,camino,1
darro,darro,1
