principal,variantes,menciones
"toro (viaje, animal)",bull,60
"sol (espacio natural, común)",sun,50
"ciudad (público,común)",town,48
"casa (público,común)",houses,39
"iglesia (monumento, común)",church,35
"calle (público,común)",streets,31
"caballo (viaje, animal)",horse,27
"ciudad (público,común)",city,24
"calle (público,común)",street,22
"muralla (monumento, común)",walls,19
"casa (público,común)",house,18
"tabaco (consumo, alimentación)",cigarette,18
"montaña  (espacio natural, común)",mountains,18
"catedral (monumento, común)",cathedral,17
"vino (consumo, alimentación)",wine,17
"patio (público,común)",court,16
"alhambra (monumento, propio)",alhambra,15
"mar  (espacio natural, común)",sea,14
"del sur  (espacio natural, común)",southern,14
"palacio (monumento, común)",palace,13
"tabaco (consumo, alimentación)",cigarettes,13
"mezquita (monumento, propio)",mosque,12
"iglesia (monumento, común)",churches,12
"capa española (consumo, objeto)",cloak,11
"rio  (espacio natural, común)",river,11
"muralla (monumento, común)",wall,10
"sierpes (público,propio)",sierpes,10
"jardín (público,común)",garden,9
"patio (público,común)",patio,9
"vino (consumo, alimentación)",wines,9
"guadalquivir  (espacio natural, propio)",guadalquivir,9
"giralda (monumento, propio)",giralda,8
"puente (monumento, común)",bridge,8
"teatro (público,común)",theatre,8
"guitarra  (consumo, objeto)",guitar,8
"aceite (consumo, alimentación)",oil,8
"posada (consumo, establecimiento)",inn,8
"tren (viaje, transporte)",train,8
"toro (viaje, animal)",bulls,8
"burro (viaje, animal)",donkey,8
"buey (viaje, animal)",oxen,8
"mula (viaje, animal)",mules,8
"a caballo(viaje, transporte)",on horseback,7
"hospital (público,común)",hospital,6
"brasero (consumo, objeto)",brasero,6
"aguardiente (consumo, alimentación)",aguardiente,6
"tabaco (consumo, alimentación)",tobacco,6
"Carruaje (viaje, transporte)",carriage,6
"caballo (viaje, animal)",horses,6
"burro (viaje, animal)",donkeys,6
"alcázar (monumento, propio)",alcazar,5
"capilla (monumento, común)",chapel,5
"capilla (monumento, común)",chapels,5
"ruina (monumento, común)",ruin,5
"ciudad (público,común)",cities,5
"pueblo (público,común)",village,5
"cortijo (público,común)",farm,5
"plaza (público,común)",square,5
"mantilla  (consumo, objeto)",mantilla,5
"taberna (consumo, establecimiento)",tavern,5
"mula (viaje, animal)",mule,5
"calle (público,común)",calle,4
"ciudad (público,común)",towns,4
"fuente (consumo, objeto)",fountain,4
"capa española (consumo, objeto)",cloaks,4
"mantilla  (consumo, objeto)",shawl,4
"mantilla  (consumo, objeto)",mantillas,4
"ferrocarril (viaje, transporte)",railway,4
"montaña  (espacio natural, común)",mountain,4
"mina (espacio natural, común)",mine,4
"cobre (espacio natural, común)",copper,4
"patio los naranjos (monumento, propio)",court of oranges,3
"barrio (público,común)",quarter,3
"pueblo (público,común)",villages,3
"parque (público,común)",park,3
"patio (público,común)",courts,3
"patio (público,común)",patios,3
"plaza (público,común)",squares,3
"plaza (público,común)",plaza,3
"cementerio (público,común)",cemetery,3
"cárcel (público,común)",gaol,3
"plaza de toros (público,común)",bull-ring,3
"paseo (público,común)",promenade,3
"fuente (consumo, objeto)",fuentes,3
"capa española (consumo, objeto)",capa,3
"uva (consumo, alimentación)",grape,3
"bodega (consumo, establecimiento)",bodega,3
"posada (consumo, establecimiento)",posada,3
"tren (viaje, transporte)",trains,3
"toro (viaje, animal)",toros,3
"sierra nevada  (espacio natural, propio)",sierra nevada,3
"del sur  (espacio natural, común)",south,3
"generalife (monumento, propio)",generalife,2
"palacio (monumento, común)",palaces,2
"puente (monumento, común)",puente,2
"puerto (monumento, común)",harbour,2
"paseo (público,común)",paseo,2
"molino (consumo, objeto)",mills,2
"peseta (consumo, objeto)",pesetas,2
"mantilla  (consumo, objeto)",shawls,2
"café  (consumo, alimentación)",cafe,2
"café  (consumo, alimentación)",cafés,2
"café  (consumo, alimentación)",coffee,2
"uva (consumo, alimentación)",grapes,2
"posada (consumo, establecimiento)",inns,2
"taberna (consumo, establecimiento)",taverns,2
"hotel (consumo, establecimiento)",hotel,2
"Carruaje (viaje, transporte)",carriages,2
"medina azhara (monumento, propio)",medinat az-zahra,1
"patio los leones (monumento, propio)",court of lions,1
"patio los leones (monumento, propio)",court of lions,1
"torre calahorra (monumento, propio)",bridge of calahorra,1
"capilla (monumento, común)",capilla,1
"catedral (monumento, común)",cathedrals,1
"muralla (monumento, común)",rampart,1
"puerto (monumento, común)",port,1
"triana (público,propio)",triana,1
"plaza san fernando (público,propio)",plaza san fernando,1
"barrio (público,común)",quarters,1
"casa (público,común)",dwelling,1
"casa (público,común)",dwellings,1
"casa (público,común)",casa,1
"pueblo (público,común)",pueblo,1
"fuente (consumo, objeto)",fuente,1
"peseta (consumo, objeto)",peseta,1
"abanico (consumo, objeto)",fan,1
"abanico (consumo, objeto)",abanicos,1
"peineta  (consumo, objeto)",comb,1
"velo  (consumo, objeto)",veil,1
"vino (consumo, alimentación)",sherry,1
"vino (consumo, alimentación)",vino,1
"olla (consumo, alimentación)",olla,1
"tabaco (consumo, alimentación)",tabacos,1
"tabaco (consumo, alimentación)",cigarillo,1
"mercado (consumo, establecimiento)",market,1
"buey (viaje, animal)",ox,1
"darro  (espacio natural, propio)",darro,1
"sol (espacio natural, común)",sol,1
