principal,variantes,menciones
"ciudad (público,común)",city,112
"palacio (monumento, común)",palace,56
"iglesia (monumento, común)",church,53
"ciudad (público,común)",town,45
"patio (público,común)",court,45
"alhambra (monumento, propio)",alhambra,40
"catedral (monumento, común)",cathedral,37
"patio (público,común)",patio,35
"capilla (monumento, común)",chapel,29
"muralla (monumento, común)",wall,29
"muralla (monumento, común)",walls,29
"casa (público,común)",house,26
"alcázar (monumento, propio)",alcazar,25
"del sur  (espacio natural, común)",south,24
"mezquita (monumento, propio)",mosque,21
"barrio (público,común)",quarter,18
"plaza (público,común)",square,17
"rio  (espacio natural, común)",river,16
"giralda (monumento, propio)",giralda,15
"plaza (público,común)",plaza,15
"mar  (espacio natural, común)",sea,15
"calle (público,común)",streets,14
"guadalquivir  (espacio natural, propio)",guadalquivir,14
"casa (público,común)",casa,13
"ciudad (público,común)",towns,13
"del sur  (espacio natural, común)",southern,13
"iglesia (monumento, común)",churches,12
"calle (público,común)",street,12
"casa (público,común)",houses,12
"capilla (monumento, común)",chapels,11
"fuente (consumo, objeto)",fountain,10
"generalife (monumento, propio)",generalife,9
"mezquita (monumento, propio)",mezquita,8
"ciudad (público,común)",cities,8
"toro (viaje, animal)",bull,8
"montaña  (espacio natural, común)",mountains,8
"castillo (monumento, común)",castle,7
"palacio (monumento, común)",palaces,7
"puente (monumento, común)",bridge,7
"mantilla  (consumo, objeto)",mantilla,7
"darro  (espacio natural, propio)",darro,7
"sol (espacio natural, común)",sun,7
"itálica (monumento, propio)",italica,6
"patio los naranjos (monumento, propio)",patio de los naranjos,6
"torre del oro (monumento, propio)",torre del oro,6
"capilla (monumento, común)",capilla,6
"café  (consumo, alimentación)",cafés,6
"genil  (espacio natural, propio)",genil,6
"casa de pilatos (monumento, propio)",casa de pilatos,5
"albaicín (público,propio)",albaicin,5
"jardín (público,común)",garden,5
"patio (público,común)",patios,5
"fuente (consumo, objeto)",fountains,5
"guitarra  (consumo, objeto)",guitar,5
"vino (consumo, alimentación)",wine,5
"ferrocarril (viaje, transporte)",railway,5
"sierra nevada  (espacio natural, propio)",sierra nevada,5
"patio los leones (monumento, propio)",court of the lions,4
"palacio (monumento, común)",palacio,4
"puerto (monumento, común)",harbour,4
"ruina (monumento, común)",ruins,4
"sierpes (público,propio)",sierpes,4
"triana (público,propio)",triana,4
"pueblo (público,común)",village,4
"paseo (público,común)",promenade,4
"tren (viaje, transporte)",train,4
"caballo (viaje, animal)",horse,4
"puerto (monumento, común)",port,3
"calle (público,común)",calle,3
"patio (público,común)",courts,3
"plaza (público,común)",squares,3
"hospital (público,común)",hospital,3
"toro (viaje, animal)",toros,3
"caballo (viaje, animal)",horses,3
"claustro (monumento, común)",cloister,2
"claustro (monumento, común)",cloister,2
"puente (monumento, común)",puente,2
"puerto (monumento, común)",puerto,2
"casa (público,común)",dwellings,2
"pueblo (público,común)",villages,2
"mantilla  (consumo, objeto)",shawl,2
"peineta  (consumo, objeto)",comb,2
"hotel (consumo, establecimiento)",hotel,2
"Carruaje (viaje, transporte)",carriage,2
"diligencia (viaje, transporte)",diligence,2
"toro (viaje, animal)",bulls,2
"montaña  (espacio natural, común)",mountain,2
"rio  (espacio natural, común)",rivers,2
"rio  (espacio natural, común)",rio,2
"mina (espacio natural, común)",mina,2
"cobre (espacio natural, común)",copper,2
"gibralfaro (monumento, propio)",gibralfaro,1
"patio los leones (monumento, propio)",court of lions,1
"patio los leones (monumento, propio)",court of lions,1
"alcazaba (monumento, propio)",alcazaba,1
"castillo (monumento, común)",castles,1
"catedral (monumento, común)",cathedrals,1
"claustro (monumento, común)",cloisters,1
"iglesia (monumento, común)",iglesias,1
"muralla (monumento, común)",rampart,1
"ruina (monumento, común)",ruin,1
"barrio (público,común)",quarters,1
"casa (público,común)",dwelling,1
"ciudad (público,común)",ciudad,1
"parque (público,común)",parque,1
"cárcel (público,común)",gaol,1
"paseo (público,común)",paseo,1
"paseo (público,común)",paseos,1
"paseo (público,común)",promenades,1
"molino (consumo, objeto)",mill,1
"molino (consumo, objeto)",molinos,1
"guitarra  (consumo, objeto)",guitars,1
"velo  (consumo, objeto)",veil,1
"aguardiente (consumo, alimentación)",aguardiente,1
"vino (consumo, alimentación)",wines,1
"vino (consumo, alimentación)",sherry,1
"vino (consumo, alimentación)",vino,1
"aceite (consumo, alimentación)",oil,1
"tabaco (consumo, alimentación)",cigarettes,1
"posada (consumo, establecimiento)",inns,1
"tren (viaje, transporte)",trains,1
"toro (viaje, animal)",toro,1
"burro (viaje, animal)",donkey,1
"mula (viaje, animal)",mules,1
"guadalete  (espacio natural, propio)",guadalete,1
"guadalevín  (espacio natural, propio)",guadalevin,1
"sierra morena  (espacio natural, propio)",sierra morena,1
"sol (espacio natural, común)",sol,1
"mina (espacio natural, común)",mine,1
"mina (espacio natural, común)",mining,1
