principal,variantes,menciones
"moro (grupos, externo)",moorish,31
"bueno (característica, general)",good,16
"santo  (característica, general)",san,16
"moro (grupos, externo)",moor,15
"belleza (característica, general)",beautiful,14
"hombre (género, masculino)",man,9
"moro (grupos, externo)",moors,8
"maravilloso (característica, general)",wonderful,6
"viajero (característica, general)",tourist,6
"belleza (característica, general)",beauty,5
"calor  (característica, general)",heat,5
"virgen  (característica, general)",virgin,5
"pobre (característica, general)",poor,5
"hombre (género, masculino)",men,5
"señor (género, masculino)",señor,5
"frío (característica, general)",cold,4
"santo/a  (característica, general)",saint,4
"delicioso (característica, general)",delicious,4
"pintoresco (característica, general)",picturesque,4
"mendigo (grupos, interno)",beggars,4
"musulmán (grupos, externo)",moslem,4
"ilusión (característica, general)",hope,3
"virgen  (característica, general)",santa,3
"exótico (característica, general)",exotic,3
"rico (característica, general)",rich,3
"perezoso (característica, personalidad)",lazy,3
"gitano (grupos, interno)",gipsy,3
"maravilloso (característica, general)",marvellous,2
"terrible (característica, general)",terrible,2
"dios (característica, general)",god,2
"tradición (característica, general)",custom,2
"caridad  (característica, personalidad)",charity,2
"mujer (género, femenino)",women,2
"señora (género, femenino)",señora,2
"gitano (grupos, interno)",gipsies,2
"baile (fiestas, feria y carnaval)",dance,2
"belleza (característica, general)",beauties,1
"belleza (característica, general)",pretty,1
"feo (característica, general)",unpleasant,1
"malo (característica, general)",bad,1
"miedo  (característica, general)",fear,1
"calor  (característica, general)",hot,1
"calor  (característica, general)",warmth,1
"paseo  (característica, general)",stroll,1
"camino  (característica, general)",road,1
"camino  (característica, general)",path,1
"viaje  (característica, general)",journey,1
"viaje  (característica, general)",travel,1
"viaje  (característica, general)",travels,1
"viajero (característica, general)",travellers,1
"viajero (característica, general)",tourists,1
"santo/a  (característica, general)",st.,1
"dios (característica, general)",dios,1
"rico (característica, general)",riches,1
"tradición (característica, general)",tradition,1
"fiesta (característica, general)",feast,1
"encantador (característica, personalidad)",delightful,1
"guapo (característica, personalidad)",handsome,1
"chica (género, femenino)",girls,1
"mujer (género, femenino)",woman,1
"señora (género, femenino)",ladies,1
"señora (género, femenino)",lady,1
"chico (género, masculino)",boys,1
"señor (género, masculino)",caballero,1
"campesino (oficio, campo y ciudad)",peasants,1
"hacedor (oficio, campo y ciudad)",makers,1
"vendedor (oficio, campo y ciudad)",sellers,1
"sereno (oficio, seguridad)",watchmen,1
"gitano (grupos, interno)",gitanos,1
"mendigo (grupos, interno)",beggar,1
"árabe (grupos, externo)",arabian,1
"corpus christi  (fiestas, religión)",corpus christi,1
"semana santa  (fiestas, religión)",holy week,1
"nazareno (fiestas, religión)",nazareno,1
"corrida/toreo (fiestas, toreo)",bull-fights,1
