principal,variantes,menciones
"muralla (monumento, común)",walls,31
"ciudad (público,común)",city,26
"catedral (monumento, común)",cathedral,20
"patio (público,común)",patio,18
"hotel (consumo, establecimiento)",hotel,16
"ciudad (público,común)",town,15
"alhambra (monumento, propio)",alhambra,13
"palacio (monumento, común)",palace,11
"mar  (espacio natural, común)",sea,10
"calle (público,común)",streets,9
"casa (público,común)",house,9
"tren (viaje, transporte)",train,9
"muralla (monumento, común)",wall,8
"patio (público,común)",court,8
"del sur  (espacio natural, común)",south,8
"peseta (consumo, objeto)",pesetas,7
"toro (viaje, animal)",bull,7
"giralda (monumento, propio)",giralda,6
"mezquita (monumento, propio)",mezquita,6
"plaza (público,común)",square,6
"toro (viaje, animal)",bulls,6
"mezquita (monumento, propio)",mosque,5
"barrio (público,común)",quarter,5
"casa (público,común)",houses,5
"jardín (público,común)",garden,5
"plaza (público,común)",plaza,5
"fuente (consumo, objeto)",fountains,5
"vino (consumo, alimentación)",wine,5
"Carruaje (viaje, transporte)",carriage,5
"toro (viaje, animal)",toros,5
"capilla (monumento, común)",chapel,4
"ruina (monumento, común)",ruins,4
"calle (público,común)",street,4
"casa (público,común)",dwellings,4
"paseo (público,común)",promenade,4
"sol (espacio natural, común)",sun,4
"rio  (espacio natural, común)",river,4
"castillo (monumento, común)",castle,3
"iglesia (monumento, común)",church,3
"iglesia (monumento, común)",churches,3
"puente (monumento, común)",bridge,3
"albaicín (público,propio)",albaicin,3
"barrio (público,común)",quarters,3
"ciudad (público,común)",towns,3
"patio (público,común)",courts,3
"patio (público,común)",patios,3
"fuente (consumo, objeto)",fountain,3
"caballo (viaje, animal)",horses,3
"del sur  (espacio natural, común)",southern,3
"capilla (monumento, común)",chapels,2
"palacio (monumento, común)",palacio,2
"puerto (monumento, común)",port,2
"calle (público,común)",calle,2
"parque (público,común)",park,2
"paseo (público,común)",paseo,2
"mantilla  (consumo, objeto)",mantillas,2
"mercado (consumo, establecimiento)",market,2
"ferrocarril (viaje, transporte)",railway,2
"ferrocarril (viaje, transporte)",railroad,2
"montaña  (espacio natural, común)",mountains,2
"itálica (monumento, propio)",italica,1
"puente (monumento, común)",puente,1
"puerto (monumento, común)",ports,1
"ruina (monumento, común)",ruin,1
"triana (público,propio)",triana,1
"ciudad (público,común)",cities,1
"pueblo (público,común)",villages,1
"plaza (público,común)",plazas,1
"plaza de toros (público,común)",bull-ring,1
"molino (consumo, objeto)",mills,1
"guitarra  (consumo, objeto)",guitar,1
"tabaco (consumo, alimentación)",tobacco,1
"tabaco (consumo, alimentación)",cigarettes,1
"café  (consumo, alimentación)",cafe,1
"café  (consumo, alimentación)",cafes,1
"café  (consumo, alimentación)",coffee,1
"mercado (consumo, establecimiento)",markets,1
"burro (viaje, animal)",donkey,1
"buey (viaje, animal)",ox,1
"buey (viaje, animal)",oxen,1
"mula (viaje, animal)",mule,1
"darro  (espacio natural, propio)",darro,1
"montaña  (espacio natural, común)",mountain,1
"mina (espacio natural, común)",mine,1
"mina (espacio natural, común)",mines,1
"mina (espacio natural, común)",mina,1
