principal,variantes,menciones
"hombre (género, masculino)",man,14
"hombre (género, masculino)",men,14
"bueno (característica, general)",good,12
"paso (fiestas, religión)",pasos,12
"mujer (género, femenino)",women,11
"moro (grupos, externo)",moorish,11
"semana santa  (fiestas, religión)",holy week,10
"belleza (característica, general)",beauty,9
"señora (género, femenino)",ladies,9
"amor  (característica, general)",love,8
"baile (fiestas, feria y carnaval)",dance,8
"pobre (característica, general)",poor,7
"tradición (característica, general)",custom,7
"fiesta (característica, general)",feast,7
"virgen  (característica, general)",santa,6
"santo  (característica, general)",san,6
"dios (característica, general)",god,6
"rico (característica, general)",rich,6
"chica (género, femenino)",girls,6
"belleza (característica, general)",beautiful,5
"viajero (característica, general)",tourists,5
"religioso  (característica, personalidad)",religious,5
"mujer (género, femenino)",woman,5
"señor (género, masculino)",don,5
"oriental (grupos, externo)",oriental,5
"procesión (fiestas, religión)",procession,5
"belleza (característica, general)",pretty,4
"miedo  (característica, general)",fear,4
"simpático  (característica, personalidad)",sympathetic,4
"majo (característica, personalidad)",majo,4
"señora (género, femenino)",doña,4
"musulmán (grupos, externo)",moslem,4
"feria  (fiestas, feria y carnaval)",fair,4
"feo (característica, general)",ugly,3
"ilusión (característica, general)",hope,3
"alegría  (característica, general)",joy,3
"viaje  (característica, general)",journey,3
"viajero (característica, general)",tourist,3
"santo/a  (característica, general)",saint,3
"orgullO/so (característica, general)",proud,3
"patriota (característica, personalidad)",patriotic,3
"señora (género, femenino)",lady,3
"campesino (oficio, campo y ciudad)",peasant,3
"moro (grupos, externo)",moor,3
"paso (fiestas, religión)",paso,3
"maravilloso (característica, general)",wonderful,2
"malo (característica, general)",bad,2
"asco (característica, general)",dislike,2
"sorpresa  (característica, general)",surprise,2
"frío (característica, general)",cold,2
"camino  (característica, general)",roads,2
"camino  (característica, general)",route,2
"viaje  (característica, general)",travel,2
"virgen  (característica, general)",virgin,2
"dios (característica, general)",dios,2
"tradición (característica, general)",tradition,2
"pintoresco (característica, general)",picturesque,2
"caridad  (característica, personalidad)",charitable,2
"hospitalario (característica, personalidad)",hospitality,2
"guapo (característica, personalidad)",handsome,2
"chica (género, femenino)",girl,2
"chico (género, masculino)",boys,2
"campesino (oficio, campo y ciudad)",peasants,2
"cigarrera (oficio, campo y ciudad)",cigarreras,2
"árabe (grupos, externo)",arab,2
"oriental (grupos, externo)",orient,2
"feo (característica, general)",unpleasant,1
"aburrido (característica, general)",bored,1
"terrible (característica, general)",awful,1
"asco (característica, general)",disgust,1
"negativo  (característica, general)",negative,1
"calor  (característica, general)",sunny,1
"tertulia  (característica, general)",tertulias,1
"viaje  (característica, general)",journeys,1
"viaje  (característica, general)",travels,1
"virgen  (característica, general)",virgen,1
"delicioso (característica, general)",delicious,1
"rico (característica, general)",riches,1
"orgullO/so (característica, general)",pride,1
"fiesta (característica, general)",fiestas,1
"alegre-amable (característica, personalidad)",friendly,1
"simpático  (característica, personalidad)",simpática,1
"caridad  (característica, personalidad)",charity,1
"exagerado (característica, personalidad)",exaggerated,1
"honestidad (característica, personalidad)",honest,1
"maja (característica, personalidad)",maja,1
"siesta  (característica, personalidad)",siesta,1
"guapa (característica, personalidad)",guapa,1
"chica (género, femenino)",niña,1
"señora (género, femenino)",señora,1
"chico (género, masculino)",boy,1
"señor (género, masculino)",gentlemen,1
"señor (género, masculino)",caballero,1
"señor (género, masculino)",señor,1
"jardinero (oficio, campo y ciudad)",gardener,1
"pastor (oficio, campo y ciudad)",shepherd,1
"pastor (oficio, campo y ciudad)",shepherds,1
"posadero (oficio, campo y ciudad)",innkeepers,1
"sereno (oficio, seguridad)",watchman,1
"gitano (grupos, interno)",gypsy,1
"gitano (grupos, interno)",gypsies,1
"mendigo (grupos, interno)",beggar,1
"mendigo (grupos, interno)",beggars,1
"bolero (fiestas, feria y carnaval)",bolero,1
"carnaval  (fiestas, feria y carnaval)",carnival,1
"copla  (fiestas, feria y carnaval)",copla,1
"copla  (fiestas, feria y carnaval)",coplas,1
"feria  (fiestas, feria y carnaval)",feria,1
"procesión (fiestas, religión)",pageants,1
"semana santa  (fiestas, religión)",semana santa,1
"nazareno (fiestas, religión)",nazareno,1
"corrida/toreo (fiestas, toreo)",bull-fight,1
