principal,variantes,menciones
"hombre (género, masculino)",man,29
"bueno (característica, general)",good,26
"hombre (género, masculino)",men,23
"santo  (característica, general)",san,16
"bandolero (grupos, interno)",pernales,16
"pobre (característica, general)",poor,15
"virgen  (característica, general)",virgin,13
"frío (característica, general)",cold,12
"belleza (característica, general)",beautiful,9
"belleza (característica, general)",pretty,9
"belleza (característica, general)",beauty,8
"miedo  (característica, general)",fear,8
"pintoresco (característica, general)",picturesque,8
"matador (oficio, toreo)",matador,8
"ilusión (característica, general)",hope,7
"terrible (característica, general)",terrible,7
"feria  (fiestas, feria y carnaval)",fair,7
"encantador (característica, personalidad)",delightful,6
"señor (género, masculino)",don,6
"ganadero (oficio, campo y ciudad)",miura,6
"policia (oficio, seguridad)",police,6
"corrida/toreo (fiestas, toreo)",corrida,6
"calor  (característica, general)",sunny,5
"camino  (característica, general)",route,5
"señora (género, femenino)",lady,5
"bandolero (grupos, interno)",bandit,5
"moro (grupos, externo)",moorish,5
"corrida/toreo (fiestas, toreo)",bull-fighting,5
"maravilloso (característica, general)",marvellous,4
"malo (característica, general)",bad,4
"sorpresa  (característica, general)",surprise,4
"calor  (característica, general)",hot,4
"camino  (característica, general)",path,4
"viaje  (característica, general)",journey,4
"viajero (característica, general)",travellers,4
"dios (característica, general)",god,4
"rico (característica, general)",rich,4
"alegre-amable (característica, personalidad)",friendly,4
"religioso  (característica, personalidad)",religious,4
"valiente  (característica, personalidad)",brave,4
"chico (género, masculino)",niño,4
"moro (grupos, externo)",moro,4
"expectación (característica, general)",anticipation,3
"calor  (característica, general)",heat,3
"exótico (característica, general)",exotic,3
"orgullO/so (característica, general)",pride,3
"fiesta (característica, general)",fiesta,3
"fiable (característica, personalidad)",reliable,3
"guapo (característica, personalidad)",handsome,3
"chica (género, femenino)",girl,3
"señor (género, masculino)",señor,3
"pastor (oficio, campo y ciudad)",shepherd,3
"guardia civil (oficio, seguridad)",civil guard,3
"alguacil (oficio, seguridad)",bailiff,3
"bandolero (grupos, interno)",bandits,3
"árabe (grupos, externo)",arab,3
"musulmán (grupos, externo)",moslem,3
"moro (grupos, externo)",moor,3
"moro (grupos, externo)",moors,3
"procesión (fiestas, religión)",procession,3
"feo (característica, general)",ugly,2
"alegría  (característica, general)",joy,2
"amor  (característica, general)",love,2
"camino  (característica, general)",road,2
"viajero (característica, general)",traveller,2
"viajero (característica, general)",tourists,2
"dios (característica, general)",dios,2
"fiesta (característica, general)",feast,2
"cortejo (característica, personalidad)",courting,2
"generoso (característica, personalidad)",generous,2
"mujer (género, femenino)",women,2
"señora (género, femenino)",señora,2
"chico (género, masculino)",boy,2
"señor (género, masculino)",caballero,2
"campesino (oficio, campo y ciudad)",peasants,2
"ganadero (oficio, campo y ciudad)",breeders,2
"gitano (grupos, interno)",gipsy,2
"paso (fiestas, religión)",paso,2
"corrida/toreo (fiestas, toreo)",bull-fight,2
"corrida/toreo (fiestas, toreo)",bull-fights,2
"feo (característica, general)",unpleasant,1
"maravilloso (característica, general)",wonderful,1
"maravilloso (característica, general)",amazing,1
"terrible (característica, general)",awful,1
"asco (característica, general)",disgust,1
"asco (característica, general)",dislike,1
"positivo  (característica, general)",positive,1
"confianza (característica, general)",trust,1
"paseo  (característica, general)",stroll,1
"tertulia  (característica, general)",gathering,1
"tertulia  (característica, general)",gatherings,1
"camino  (característica, general)",routes,1
"viaje  (característica, general)",trip,1
"viaje  (característica, general)",journeys,1
"viaje  (característica, general)",travel,1
"viajero (característica, general)",tourist,1
"virgen  (característica, general)",virgen,1
"virgen  (característica, general)",santa,1
"delicioso (característica, general)",delicious,1
"orgullO/so (característica, general)",proud,1
"tradición (característica, general)",tradition,1
"tradición (característica, general)",custom,1
"viva (característica, general)",viva,1
"bravo (característica, general)",bravo,1
"bravo (característica, general)",bravos,1
"caridad  (característica, personalidad)",charity,1
"exagerado (característica, personalidad)",exaggerated,1
"honestidad (característica, personalidad)",honesty,1
"hospitalario (característica, personalidad)",hospitable,1
"siesta  (característica, personalidad)",siesta,1
"cobarde  (característica, personalidad)",cowardly,1
"chica (género, femenino)",girls,1
"mujer (género, femenino)",woman,1
"señora (género, femenino)",ladies,1
"señor (género, masculino)",senior,1
"guardia civil (oficio, seguridad)",guardia civil,1
"baile (fiestas, feria y carnaval)",dance,1
"procesión (fiestas, religión)",pageant,1
"romería (fiestas, religión)",pilgrim,1
"encierro (fiestas, toreo)",encierro,1
