principal,variantes,menciones
almonte (Huelva),almonte,14
andalucia (comunidad),andalucia,13
ronda (Málaga),ronda,11
sevilla (Sevilla),seville,11
jerez de la frontera (Cádiz),jerez,8
córdoba  (Córdoba),córdoba,6
jaén (Jaén),jaen,5
cádiz (Cádiz),cádiz,4
sevillano (gentilicio),sevillian,4
granada (Granada),granada,3
motril (Granada),motril,2
málaga (Málaga),malaga,2
écija (Sevilla),ecija,2
andaluz (gentilicio),andaluz,1
rota (Cádiz),rota,1
sanlúcar de barrameda (Cádiz),san lucar,1
jerez de la frontera (Cádiz),sherry,1
lucena  (Córdoba),lucena,1
huelva,huelva,1
moguer (Huelva),moguer,1
andújar (Jaén),andujar,1
linares (Jaén),linares,1
marchena (Sevilla),marchena,1
moron de la frontera (Sevilla),morón,1
sevilla (Sevilla),sevilla,1
sevillano (gentilicio),sevillano,1
