principal,variantes,menciones
"toro (viaje, animal)",bull,48
"montaña  (espacio natural, común)",mountain,41
"marismas  (espacio natural, común)",marisma,34
"sol (espacio natural, común)",sun,30
"doñana  (espacio natural, propio)",doñana,25
"toro (viaje, animal)",bulls,21
"sierra morena  (espacio natural, propio)",sierra morena,18
"rio  (espacio natural, común)",river,17
"mar  (espacio natural, común)",sea,16
"del sur  (espacio natural, común)",southern,16
"sierra nevada  (espacio natural, propio)",sierra nevada,15
"montaña  (espacio natural, común)",mountains,15
"caballo (viaje, animal)",horses,14
"pueblo (público,común)",village,13
"del sur  (espacio natural, común)",south,13
"cortijo (público,común)",farm,12
"caballo (viaje, animal)",horse,11
"mula (viaje, animal)",mule,11
"marismas  (espacio natural, común)",marismas,11
"muralla (monumento, común)",walls,10
"barrio (público,común)",quarters,10
"plaza (público,común)",plaza,7
"burro (viaje, animal)",donkey,7
"mula (viaje, animal)",mules,7
"casa (público,común)",house,6
"despeñaperros  (espacio natural, propio)",despeñaperros,6
"genil  (espacio natural, propio)",genil,6
"guadalquivir  (espacio natural, propio)",guadalquivir,6
"pueblo (público,común)",villages,5
"guitarra  (consumo, objeto)",guitar,5
"buey (viaje, animal)",ox,5
"barrio (público,común)",quarter,4
"ciudad (público,común)",town,4
"ciudad (público,común)",city,4
"plaza (público,común)",square,4
"sierra bermeja  (espacio natural, propio)",sierra bermeja,4
"iglesia (monumento, común)",church,3
"muralla (monumento, común)",wall,3
"palacio (monumento, común)",palacio,3
"ruina (monumento, común)",ruin,3
"tabaco (consumo, alimentación)",cigarette,3
"Carruaje (viaje, transporte)",carriage,3
"toro (viaje, animal)",toro,3
"buey (viaje, animal)",oxen,3
"darro  (espacio natural, propio)",darro,3
"cobre (espacio natural, común)",copper,3
"alhambra (monumento, propio)",alhambra,2
"puente (monumento, común)",puente,2
"calle (público,común)",streets,2
"ciudad (público,común)",towns,2
"abanico (consumo, objeto)",fan,2
"vino (consumo, alimentación)",wine,2
"mercado (consumo, establecimiento)",market,2
"posada (consumo, establecimiento)",posada,2
"fonda (consumo, establecimiento)",fonda,2
"venta (consumo, establecimiento)",venta,2
"ferrocarril (viaje, transporte)",railway,2
"burro (viaje, animal)",donkeys,2
"generalife (monumento, propio)",generalife,1
"castillo (monumento, común)",castles,1
"iglesia (monumento, común)",churches,1
"palacio (monumento, común)",palace,1
"puente (monumento, común)",bridge,1
"puerto (monumento, común)",port,1
"triana (público,propio)",triana,1
"barrio (público,común)",barrios,1
"calle (público,común)",street,1
"casa (público,común)",houses,1
"casa (público,común)",dwelling,1
"ciudad (público,común)",cities,1
"ciudad (público,común)",ciudad,1
"cortijo (público,común)",cortijo,1
"patio (público,común)",courtyard,1
"patio (público,común)",patio,1
"teatro (público,común)",theatre,1
"hospital (público,común)",hospital,1
"fuente (consumo, objeto)",fountains,1
"fuente (consumo, objeto)",fuentes,1
"peseta (consumo, objeto)",pesetas,1
"capa española (consumo, objeto)",cloak,1
"capa española (consumo, objeto)",capa,1
"vino (consumo, alimentación)",sherry,1
"garbanzo (consumo, alimentación)",garbanzos,1
"bocadillo (consumo, alimentación)",bocadillo,1
"bocadillo (consumo, alimentación)",bocadillos,1
"tortilla (consumo, alimentación)",tortilla,1
"membrillo (consumo, alimentación)",membrillo,1
"olla (consumo, alimentación)",olla,1
"aceite (consumo, alimentación)",oil,1
"café  (consumo, alimentación)",café,1
"café  (consumo, alimentación)",coffee,1
"bodega (consumo, establecimiento)",bodega,1
"mercado (consumo, establecimiento)",markets,1
"posada (consumo, establecimiento)",inn,1
"diligencia (viaje, transporte)",diligence,1
"ferrocarril (viaje, transporte)",railways,1
"tren (viaje, transporte)",train,1
"toro (viaje, animal)",toros,1
"rio  (espacio natural, común)",rivers,1
"rio  (espacio natural, común)",rio,1
"mina (espacio natural, común)",mine,1
