principal,variantes,menciones
moro,moorish,58
moros,moors,31
hombre,man,23
hombres,men,21
pintoresco,picturesque,17
belleza,beauty,16
árabe,arabic,16
andaluz,andalusian,15
musulmanes,moslems,14
moro,moor,13
musulmán,moslem,10
mujer,lady,9
feria,fair,9
sol,sun,7
pobre,poor,7
tradición,tradition,7
mantilla,mantilla,7
mujeres,girls,6
mujeres,ladies,6
virgen,virgin,6
cafés,cafés,6
valiente,brave,5
mujeres,women,5
árabe,arab,5
guitarra,guitar,5
encantador,delightful,4
mujer,girl,4
hombres,gentlemen,4
paseo,promenade,4
calor,hot,3
generoso,generous,3
orgulloso,proud,3
religioso,religious,3
mujer,woman,3
hombres,boys,3
árabe,arabian,3
baile,dance,3
procesión,procession,3
tertulia,conversation,3
calor,heat,2
caridad,caridad,2
cordobés,cordovan,2
granadino,granadine,2
sevillano,sevillian,2
bolero,bolero,2
fiesta,feast,2
corpus christi,corpus christi,2
corrida,bull-fight,2
toreros,toreros,2
paseo,stroll,2
mantilla,shawl,2
caridad,charity,1
exagerado,exaggerated,1
exóticos,exotics,1
delicioso,delicious,1
violento,violent,1
hacedores,makers,1
jardinera,gardener,1
sereno,watchman,1
sevillano,sevillano,1
majo,majo,1
hombre,boy,1
hombre,señor,1
árabe,arabe,1
nazareno,nazareno,1
virgen,virgen,1
corridas,bull-fights,1
tertulia,tertulia,1
tertulia,gathering,1
tertulias,conversations,1
velo,veil,1
