principal,variantes,menciones
"moro (grupos, externo)",moorish,58
"señor (género, masculino)",don,41
"belleza (característica, general)",beautiful,37
"moro (grupos, externo)",moors,31
"bueno (característica, general)",good,23
"hombre (género, masculino)",man,23
"hombre (género, masculino)",men,21
"santo  (característica, general)",san,18
"pintoresco (característica, general)",picturesque,17
"belleza (característica, general)",beauty,16
"árabe (grupos, externo)",arabic,16
"musulmán (grupos, externo)",moslems,14
"moro (grupos, externo)",moor,13
"santo/a  (característica, general)",saint,11
"rico (característica, general)",rich,11
"maravilloso (característica, general)",wonderful,10
"señora (género, femenino)",doña,10
"musulmán (grupos, externo)",moslem,10
"feo (característica, general)",ugly,9
"amor  (característica, general)",love,9
"señora (género, femenino)",lady,9
"oriental (grupos, externo)",oriental,9
"feria  (fiestas, feria y carnaval)",fair,9
"viajero (característica, general)",traveller,8
"alegría  (característica, general)",joy,7
"pobre (característica, general)",poor,7
"tradición (característica, general)",tradition,7
"viaje  (característica, general)",journey,6
"viajero (característica, general)",travellers,6
"virgen  (característica, general)",virgin,6
"chica (género, femenino)",girls,6
"señora (género, femenino)",ladies,6
"árabe (grupos, externo)",arabs,6
"ilusión (característica, general)",hope,5
"terrible (característica, general)",terrible,5
"virgen  (característica, general)",santa,5
"valiente  (característica, personalidad)",brave,5
"guapo (característica, personalidad)",handsome,5
"mujer (género, femenino)",women,5
"árabe (grupos, externo)",arab,5
"maravilloso (característica, general)",marvellous,4
"malo (característica, general)",bad,4
"camino  (característica, general)",path,4
"encantador (característica, personalidad)",delightful,4
"chica (género, femenino)",girl,4
"señor (género, masculino)",gentlemen,4
"gitano (grupos, interno)",gipsies,4
"belleza (característica, general)",pretty,3
"terrible (característica, general)",awful,3
"asco (característica, general)",disgust,3
"calor  (característica, general)",hot,3
"calor  (característica, general)",sunny,3
"camino  (característica, general)",road,3
"dios (característica, general)",god,3
"orgullO/so (característica, general)",proud,3
"religioso  (característica, personalidad)",religious,3
"generoso (característica, personalidad)",generous,3
"mujer (género, femenino)",woman,3
"chico (género, masculino)",boys,3
"árabe (grupos, externo)",arabian,3
"baile (fiestas, feria y carnaval)",dance,3
"procesión (fiestas, religión)",procession,3
"miedo  (característica, general)",fear,2
"sorpresa  (característica, general)",surprise,2
"calor  (característica, general)",heat,2
"frío (característica, general)",cold,2
"paseo  (característica, general)",stroll,2
"viajero (característica, general)",tourists,2
"dios (característica, general)",dios,2
"fiesta (característica, general)",feast,2
"caridad  (característica, personalidad)",caridad,2
"torero  (oficio, toreo)",toreros,2
"policia (oficio, seguridad)",police,2
"moro (grupos, externo)",moros,2
"bolero (fiestas, feria y carnaval)",bolero,2
"caseta (fiestas, feria y carnaval)",casetas,2
"corpus christi  (fiestas, religión)",corpus christi,2
"procesión (fiestas, religión)",pageants,2
"corrida/toreo (fiestas, toreo)",corrida,2
"corrida/toreo (fiestas, toreo)",bull-fight,2
"ira  (característica, general)",anger,1
"tertulia  (característica, general)",tertulia,1
"tertulia  (característica, general)",gathering,1
"camino  (característica, general)",route,1
"viaje  (característica, general)",trip,1
"viaje  (característica, general)",travels,1
"virgen  (característica, general)",virgen,1
"santo/a  (característica, general)",st.,1
"exótico (característica, general)",exotics,1
"delicioso (característica, general)",delicious,1
"bravo (característica, general)",bravo,1
"caridad  (característica, personalidad)",charity,1
"exagerado (característica, personalidad)",exaggerated,1
"majo (característica, personalidad)",majo,1
"violento  (característica, personalidad)",violent,1
"señora (género, femenino)",damas,1
"chico (género, masculino)",boy,1
"señor (género, masculino)",señor,1
"hacedor (oficio, campo y ciudad)",makers,1
"jardinero (oficio, campo y ciudad)",gardener,1
"sereno (oficio, seguridad)",watchman,1
"gitano (grupos, interno)",gipsy,1
"mendigo (grupos, interno)",beggars,1
"vagabundo (grupos, interno)",tramps,1
"árabe (grupos, externo)",arabe,1
"feria  (fiestas, feria y carnaval)",fairs,1
"via crucis  (fiestas, religión)",via crucis,1
"nazareno (fiestas, religión)",nazareno,1
"corrida/toreo (fiestas, toreo)",bull-fights,1
