principal,variantes,menciones
sevilla,seville,92
granada,granada,90
córdoba,cordova,41
andalucia,andalusia,27
cádiz,cadiz,25
málaga,malaga,12
ronda,ronda,9
santiponce,italica,6
almería,almeria,5
algeciras,algeciras,5
jerez de la frontera,jerez,4
guadix,guadix,4
alcalá,alcalá,3
tarifa,tarifa,2
almuñecar,almuñecar,2
baza,baza,2
jaén,jaen,2
marbella,marbella,2
carmona,carmona,2
lebrija,lebrija,2
utrera,utrera,2
adra,adra,1
barbate,barbate,1
el puerto de santa maría,santa maria,1
jerez de la frontera,sherry,1
córdoba,cordoba,1
loja,loja,1
motril,motril,1
ayamonte,ayamonte,1
huelva,huelva,1
martos,martos,1
antequera,antequera,1
bobadilla,bobadilla,1
alcalá de guadaira,alcala de guadaira,1
moron de la frontera,moron,1
