principal,variantes,menciones
palacio,palace,56
iglesia,church,53
ciudad,town,45
patio,court,45
alhambra,alhambra,40
catedral,cathedral,37
patio,patio,36
capilla,chapel,29
muralla,wall,29
murallas,walls,29
alcázar,alcazar,26
casa,house,26
sur,south,24
mezquita,mosque,21
barrio,quarter,18
plaza,square,17
rio,river,16
giralda,giralda,15
plaza,plaza,15
mar,sea,15
calles,streets,14
guadalquivir,guadalquivir,14
casa,casa,13
ciudades,towns,13
del sur,southern,13
iglesias,churches,12
calle,street,12
casas,houses,12
generalife,generalife,10
mezquita,mezquita,8
montañas,mountains,8
castillo,castle,7
palacios,palaces,7
puente,bridge,7
darro,darro,7
itálica,italica,6
patio de los naranjos,patio de los naranjos,6
torre del oro,torre del oro,6
capilla,capilla,6
viaje,journey,6
genil,genil,6
casa de pilatos,casa de pilatos,5
pilatos,pilatos,5
jardín,garden,5
patio,patios,5
vino,wine,5
ferrocarril,railway,5
sierra nevada,sierra nevada,5
palacio,palacio,4
puerto,harbour,4
ruinas,ruins,4
albaicín,albaicin,4
sierpes,sierpes,4
triana,triana,4
pueblo,village,4
sendero,path,4
tren,train,4
puerto,port,3
calle,calle,3
patios,courts,3
hospital,hospital,3
camino,road,3
claustro,cloister,2
puente,puente,2
puerto,puerto,2
tajo,gorge,2
casas,dwellings,2
pueblos,villages,2
mina,mina,2
cobre,copper,2
Carruaje,carriage,2
diligencia,diligence,2
montaña,mountain,2
rios,rivers,2
rio,rio,2
gibralfaro,gibralfaro,1
patio de los leones,court of lions,1
alcazaba,alcazaba,1
castillos,castles,1
catedrales,cathedrals,1
muralla,rampart,1
ruina,ruin,1
tajo,tajo,1
barrios,quarters,1
casa,dwelling,1
ciudad,ciudad,1
parque,parque,1
posadas,inns,1
cárcel,gaol,1
mina,mine,1
minas,mine,1
minería,mining,1
aguardiente,aguardiente,1
molino,mill,1
vino,sherry,1
vino,vino,1
aceite,oil,1
cigarros,cigarettes,1
camino,route,1
viaje,trip,1
trenes,trains,1
guadalete,guadalete,1
guadalevín,guadalevin,1
sierra morena,sierra morena,1
muy al sur,way south,1
