principal,variantes,menciones
hombre,man,76
hombres,men,44
mujer,woman,37
mujer,girl,31
pobre,poor,28
moro,moorish,28
moros,moors,24
belleza,beauty,23
sol,sun,22
mujeres,women,22
mujer,lady,21
hombre,boy,20
feria,fair,16
mujeres,ladies,15
baile,dance,15
calor,hot,14
hombres,boys,14
andaluz,andalusian,13
hombre,gentleman,13
virgen,virgin,13
gitano,gypsy,11
mujeres,girls,11
abanico,fan,11
paso,paso,10
procesión,procession,10
feria,feria,9
mantilla,mantilla,9
velo,veil,9
mendigo,beggar,8
moro,moor,7
guitarra,guitar,7
tradición,custom,6
andaluz,andaluz,6
contrabandista,contrabandista,6
orgulloso,proud,5
valiente,brave,5
pastor,shepherd,5
árabe,arab,5
café,coffee,5
capa,capa,5
vendedor,seller,4
copla,copla,4
caseta,caseta,4
fiesta,fiesta,4
honesto,honest,3
gitanos,gypsies,3
vagabundo,tramp,3
hombres,gentlemen,3
fiesta,feast,3
corrida,bull-fight,3
corridas,bull-fights,3
pintoresco,picturesque,2
amable,friendly,2
bellezas,beauties,2
delicioso,delicious,2
perezoso,lazy,2
orgullo,pride,2
arriero,muleteer,2
hacedores,makers,2
jardinera,gardener,2
campesino,peasant,2
mujer,senorita,2
árabe,arabian,2
carnaval,carnival,2
corrida,corrida,2
tertulia,gathering,2
mantillas,mantillas,2
calor,heat,1
caridad,charity,1
pobre,pobre,1
religioso,religious,1
violento,violent,1
barbero,barber,1
buñolero,fritter,1
buñoleros,fritters,1
cigarrera,cigarrera,1
ganaderos,breeders,1
pescador,fisherman,1
pastor,pastor,1
cordobés,cordovan,1
cordobés,cordovese,1
malagueña,malaguena,1
gitano,gitano,1
gitano,gitanos,1
mendigo,mendicant,1
mujer,senora,1
hombre,hombre,1
hombre,senor,1
árabe,arabic,1
árabe,arabe,1
verónica,veronica,1
paseo,promenade,1
tertulia,conversation,1
mantilla,shawl,1
mantillas,shawls,1
