principal,variantes,menciones
"señor (género, masculino)",don,90
"hombre (género, masculino)",man,76
"bueno (característica, general)",good,69
"hombre (género, masculino)",men,44
"mujer (género, femenino)",woman,37
"chica (género, femenino)",girl,31
"pobre (característica, general)",poor,28
"moro (grupos, externo)",moorish,28
"moro (grupos, externo)",moors,24
"belleza (característica, general)",beauty,23
"mujer (género, femenino)",women,22
"señora (género, femenino)",lady,21
"belleza (característica, general)",pretty,20
"chico (género, masculino)",boy,20
"santo  (característica, general)",san,19
"belleza (característica, general)",beautiful,17
"amor  (característica, general)",love,16
"feria  (fiestas, feria y carnaval)",fair,16
"guapo (característica, personalidad)",handsome,15
"señora (género, femenino)",ladies,15
"baile (fiestas, feria y carnaval)",dance,15
"maravilloso (característica, general)",wonderful,14
"calor  (característica, general)",hot,14
"rico (característica, general)",rich,14
"chico (género, masculino)",boys,14
"camino  (característica, general)",road,13
"virgen  (característica, general)",virgin,13
"señor (género, masculino)",gentleman,13
"frío (característica, general)",cold,12
"chica (género, femenino)",girls,11
"gitano (grupos, interno)",gypsy,11
"dios (característica, general)",god,10
"procesión (fiestas, religión)",procession,10
"paso (fiestas, religión)",paso,10
"camino  (característica, general)",path,9
"feria  (fiestas, feria y carnaval)",feria,9
"ilusión (característica, general)",hope,8
"mendigo (grupos, interno)",beggar,8
"santo/a  (característica, general)",saint,7
"dios (característica, general)",dios,7
"matador (oficio, toreo)",matador,7
"moro (grupos, externo)",moor,7
"malo (característica, general)",bad,6
"tradición (característica, general)",custom,6
"bandolero (grupos, interno)",contrabandista,6
"orgullO/so (característica, general)",proud,5
"valiente  (característica, personalidad)",brave,5
"chico (género, masculino)",nino,5
"pastor (oficio, campo y ciudad)",shepherd,5
"árabe (grupos, externo)",arab,5
"viaje  (característica, general)",travel,4
"viaje  (característica, general)",tour,4
"virgen  (característica, general)",santa,4
"fiesta (característica, general)",fiesta,4
"fiesta (característica, general)",fiestas,4
"vendedor (oficio, campo y ciudad)",seller,4
"mendigo (grupos, interno)",beggars,4
"copla  (fiestas, feria y carnaval)",copla,4
"caseta (fiestas, feria y carnaval)",caseta,4
"paso (fiestas, religión)",pasos,4
"alegría  (característica, general)",joy,3
"viajero (característica, general)",tourists,3
"fiesta (característica, general)",feast,3
"honestidad (característica, personalidad)",honest,3
"señor (género, masculino)",gentlemen,3
"señor (género, masculino)",caballero,3
"gitano (grupos, interno)",gypsies,3
"vagabundo (grupos, interno)",tramp,3
"procesión (fiestas, religión)",pageants,3
"corrida/toreo (fiestas, toreo)",bull-fight,3
"corrida/toreo (fiestas, toreo)",bull-fights,3
"belleza (característica, general)",beauties,2
"terrible (característica, general)",terrible,2
"terrible (característica, general)",awful,2
"tertulia  (característica, general)",gathering,2
"viaje  (característica, general)",trip,2
"viaje  (característica, general)",journey,2
"viajero (característica, general)",tourist,2
"delicioso (característica, general)",delicious,2
"orgullO/so (característica, general)",pride,2
"pintoresco (característica, general)",picturesque,2
"divertido (característica, general)",fun,2
"alegre-amable (característica, personalidad)",friendly,2
"cortejo (característica, personalidad)",novio,2
"perezoso (característica, personalidad)",lazy,2
"señora (género, femenino)",senorita,2
"chico (género, masculino)",chico,2
"chico (género, masculino)",chicos,2
"arriero (oficio, campo y ciudad)",muleteer,2
"campesino (oficio, campo y ciudad)",peasant,2
"campesino (oficio, campo y ciudad)",peasants,2
"hacedor (oficio, campo y ciudad)",makers,2
"jardinero (oficio, campo y ciudad)",gardener,2
"bandolero (grupos, interno)",contrabandist,2
"árabe (grupos, externo)",arabs,2
"árabe (grupos, externo)",arabian,2
"moro (grupos, externo)",moros,2
"oriental (grupos, externo)",oriental,2
"carnaval  (fiestas, feria y carnaval)",carnival,2
"corrida/toreo (fiestas, toreo)",corrida,2
"feo (característica, general)",ugly,1
"feo (característica, general)",unpleasant,1
"feo (característica, general)",feo,1
"expectación (característica, general)",anticipation,1
"maravilloso (característica, general)",marvellous,1
"ira  (característica, general)",anger,1
"asco (característica, general)",dislike,1
"miedo  (característica, general)",fear,1
"confianza (característica, general)",trust,1
"sorpresa  (característica, general)",surprise,1
"calor  (característica, general)",heat,1
"calor  (característica, general)",sunny,1
"calor  (característica, general)",warmth,1
"camino  (característica, general)",roads,1
"camino  (característica, general)",route,1
"camino  (característica, general)",routes,1
"viaje  (característica, general)",travels,1
"viajero (característica, general)",traveller,1
"pobre (característica, general)",pobre,1
"viva (característica, general)",viva,1
"divertido (característica, general)",funny,1
"religioso  (característica, personalidad)",religious,1
"caridad  (característica, personalidad)",charity,1
"hospitalario (característica, personalidad)",hospitable,1
"violento  (característica, personalidad)",violent,1
"señora (género, femenino)",senora,1
"hombre (género, masculino)",hombre,1
"señor (género, masculino)",senor,1
"barbero (oficio, campo y ciudad)",barber,1
"buñolero (oficio, campo y ciudad)",fritter,1
"buñolero (oficio, campo y ciudad)",fritters,1
"cigarrera (oficio, campo y ciudad)",cigarrera,1
"ganadero (oficio, campo y ciudad)",breeders,1
"pescador (oficio, campo y ciudad)",fisherman,1
"pastor (oficio, campo y ciudad)",pastor,1
"picador  (oficio, toreo)",picadors,1
"gitano (grupos, interno)",gitano,1
"gitano (grupos, interno)",gitanos,1
"mendigo (grupos, interno)",mendicant,1
"vagabundo (grupos, interno)",vagrant,1
"árabe (grupos, externo)",arabic,1
"árabe (grupos, externo)",arabe,1
"oriental (grupos, externo)",orient,1
"caseta (fiestas, feria y carnaval)",casetas,1
"feria  (fiestas, feria y carnaval)",ferias,1
"cofradia (fiestas, religión)",cofradias,1
