principal,variantes,menciones
sevilla (Sevilla),seville,59
córdoba  (Córdoba),cordova,52
ronda (Málaga),ronda,33
andalucia (comunidad),andalusia,16
granada (Granada),granada,16
algeciras (Cádiz),algeciras,14
andaluz (gentilicio),andalusian,13
andaluz (gentilicio),andaluz,6
huelva,huelva,4
sevilla (Sevilla),sevilla,4
córdoba  (Córdoba),cordoba,3
cádiz (Cádiz),cadiz,2
andaluz (gentilicio),andalusians,1
cordobese (gentilicio),cordovan,1
cordobese (gentilicio),cordovans,1
cordobese (gentilicio),cordovese,1
málaga (Málaga),malaga,1
malagueña (gentilicio),malaguena,1
santiponce (sevilla),santiponce,1
utrera (Sevilla),utrera,1
