principal,variantes,menciones
casa,house,53
catedral,cathedral,37
iglesia,church,24
ciudad,town,22
puente,bridge,20
jardín,garden,19
rio,river,19
patio,court,18
patio,patio,18
plaza,plaza,18
mezquita,mosque,16
calle,street,16
capilla,chapel,15
casas,houses,15
muralla,wall,14
calles,streets,14
giralda,giralda,13
camino,road,13
murallas,walls,12
itálica,italica,10
palacio,palace,10
calle,calle,9
vino,wine,9
sendero,path,9
mar,sea,9
montañas,mountains,9
plaza,square,8
Carruaje,carriage,8
montaña,mountain,8
tren,train,7
guadalquivir,guadalquivir,7
alhambra,alhambra,6
teatro,theatre,6
cobre,copper,6
aceite,oil,6
capilla,capilla,5
pueblo,village,5
tabaco,cigarette,5
sur,south,5
cortijo,farm,4
patio,courtyard,4
circo,circus,4
Carruajes,carriages,4
alcázar,alcazar,3
iglesias,churches,3
barrios,quarters,3
pueblo,pueblo,3
catedrales,cathedrals,2
palacios,palaces,2
puerto,port,2
ruinas,ruins,2
albaicín,albaicin,2
barrio,quarter,2
casa,casa,2
ciudades,towns,2
ciudad,ciudad,2
mercado,market,2
mercados,markets,2
posada,inn,2
olla,olla,2
cigarros,cigarettes,2
viaje,trip,2
viaje,journey,2
trenes,trains,2
generalife,generalife,1
claustro,cloister,1
iglesia,iglesia,1
puertos,ports,1
ruina,ruin,1
tajo,tajo,1
sierpes,sierpes,1
triana,triana,1
pueblos,villages,1
parque,park,1
parque,parque,1
patios,courts,1
patio,patios,1
posadas,inns,1
mina,mine,1
minas,mine,1
mina,mina,1
vino,vino,1
ajo,garlic,1
tabaco,tobacco,1
uva,grape,1
caminos,roads,1
camino,route,1
caminos,routes,1
ferrocarril,railroad,1
ferrocarril,railroads,1
rios,rivers,1
