principal,variantes,menciones
moro,moorish,31
sol,sun,19
moro,moor,15
moros,moors,8
belleza,beauty,5
calor,heat,5
pobre,poor,5
pintoresco,picturesque,4
delicioso,delicious,4
musulmán,moslem,4
virgen,virgin,4
exótico,exotic,3
perezoso,lazy,3
caridad,charity,2
tradición,custom,2
malagueño,malagueno,2
mujeres,women,2
mujer,señora,2
baile,dance,2
tertulia,conversation,2
bellezas,beauties,1
calor,hot,1
encantador,delightful,1
tradición,tradition,1
hacedores,makers,1
serenos,watchmen,1
vendedores,sellers,1
andaluz,andalusian,1
mendigo,beggar,1
mujeres,girls,1
mujer,woman,1
mujer,lady,1
árabe,arabian,1
fiesta,feast,1
corpus christi,corpus christi,1
semana santa,holy week,1
nazareno,nazareno,1
corridas,bull-fights,1
paseo,stroll,1
paseo,promenade,1
café,café,1
café,café,1
guitarra,guitar,1
