principal,variantes,menciones
sevilla (Sevilla),seville,34
granada (Granada),granada,17
córdoba  (Córdoba),cordova,16
cádiz (Cádiz),cadiz,14
málaga (Málaga),malaga,6
córdoba  (Córdoba),cordoba,2
loja (Granada),loja,2
antequera-bobadilla (Málaga),antequera,2
malagueño (gentilicio),malagueno,2
andalucia (comunidad),andalusia,1
andaluz (gentilicio),andalusian,1
san fernando (Cádiz),san fernando,1
tarifa (Cádiz),tarifa,1
jaén (Jaén),jaen,1
sevillano (gentilicio),sevillano,1
sevillano (gentilicio),sevillanos,1
