principal,variantes,menciones
catedral,cathedral,22
alhambra,alhambra,19
sur,south,19
patio,court,17
capilla,capilla,15
murallas,walls,13
casas,houses,12
iglesia,church,11
mezquita,mosque,11
muralla,wall,11
ciudad,town,11
capilla,chapel,10
calles,streets,10
casa,house,10
mar,sea,10
palacio,palace,9
alcázar,alcázar,8
calle,street,8
puerto,port,7
barrio,quarter,7
patio,patio,7
mezquita,mezquita,6
darro,darro,6
rio,river,6
puente,bridge,5
del sur,southern,5
ruina,ruin,4
albaicín,albaicin,4
mercado,market,4
jardín,garden,4
montañas,mountains,4
gibralfaro,gibralfaro,3
giralda,giralda,3
itálica,italica,3
iglesias,churches,3
triana,triana,3
barrios,quarters,3
sierra nevada,sierra nevada,3
patio de los naranjos,patio de los naranjos,2
catedral,catedral,2
ruinas,ruins,2
malagueta,malagueta,2
casa,dwelling,2
casas,dwellings,2
casa,casa,2
mercado,mercado,2
patios,courts,2
patio,courtyard,2
plaza,plaza,2
cobre,copper,2
tabaco,cigarette,2
diligencia,carriage,2
guadalete,guadalete,2
montaña,mountain,2
rios,rivers,2
pilatos,pilatos,1
generalife,generalife,1
torreo del oro,tower of gold,1
torre del oro,torre del oro,1
castillo,castle,1
catedrales,cathedrals,1
puentes,bridges,1
puerto,harbour,1
ciudades,towns,1
ciudad,ciudad,1
judería,jewish,1
parque,park,1
parque,parque,1
plaza,square,1
vino,vino,1
cigarros,cigarettes,1
camino,road,1
diligencia,carriages,1
genil,genil,1
mulhacén,mulhacen,1
