principal,variantes,menciones
moro,moorish,21
belleza,beauty,10
hombre,man,10
gitano,gypsy,8
moros,moors,8
hombre,gentleman,7
pobre,poor,6
bellezas,beauties,5
musulmán,moslem,5
feria,fair,5
sol,sun,4
hombre,senor,4
paseo,promenade,4
pintoresco,picturesque,3
mujeres,girls,3
mujer,woman,3
mujeres,women,3
hombres,men,3
moro,moor,3
tertulia,conversation,3
caridad,charity,2
delicioso,delicious,2
generoso,generous,2
gitanos,gypsies,2
musulmanes,moslems,2
baile,dance,2
corrida,bull-fight,2
mantillas,mantillas,2
calor,heat,1
orgulloso,proud,1
orgullo,pride,1
siesta,siesta,1
jardinera,gardener,1
andaluz,andalusian,1
mujer,girl,1
mujeres,ladies,1
mujer,senorita,1
hombre,boy,1
baile,baile,1
toreo,bull-fighting,1
corridas,bull-fights,1
tertulia,gathering,1
café,coffee,1
guitarra,guitar,1
