principal,variantes,menciones
"maravilloso (característica, general)",wonderful,22
"moro (grupos, externo)",moorish,21
"belleza (característica, general)",beautiful,19
"belleza (característica, general)",beauty,10
"hombre (género, masculino)",man,10
"camino  (característica, general)",road,8
"gitano (grupos, interno)",gypsy,8
"moro (grupos, externo)",moors,8
"señor (género, masculino)",gentleman,7
"maravilloso (característica, general)",marvellous,6
"pobre (característica, general)",poor,6
"belleza (característica, general)",beauties,5
"bueno (característica, general)",good,5
"santo  (característica, general)",san,5
"rico (característica, general)",rich,5
"señor (género, masculino)",don,5
"musulmán (grupos, externo)",moslem,5
"feria  (fiestas, feria y carnaval)",fair,5
"sorpresa  (característica, general)",surprise,4
"viajero (característica, general)",traveller,4
"señor (género, masculino)",senor,4
"camino  (característica, general)",route,3
"viaje  (característica, general)",trip,3
"pintoresco (característica, general)",picturesque,3
"chica (género, femenino)",girls,3
"mujer (género, femenino)",woman,3
"mujer (género, femenino)",women,3
"hombre (género, masculino)",men,3
"moro (grupos, externo)",moor,3
"amor  (característica, general)",love,2
"camino  (característica, general)",roads,2
"viaje  (característica, general)",travels,2
"delicioso (característica, general)",delicious,2
"caridad  (característica, personalidad)",charity,2
"generoso (característica, personalidad)",generous,2
"gitano (grupos, interno)",gypsies,2
"musulmán (grupos, externo)",moslems,2
"baile (fiestas, feria y carnaval)",dance,2
"corrida/toreo (fiestas, toreo)",bull-fight,2
"ilusión (característica, general)",hope,1
"malo (característica, general)",bad,1
"ira  (característica, general)",anger,1
"confianza (característica, general)",trust,1
"calor  (característica, general)",heat,1
"tertulia  (característica, general)",gathering,1
"viaje  (característica, general)",travel,1
"viajero (característica, general)",travellers,1
"rico (característica, general)",riches,1
"orgullO/so (característica, general)",proud,1
"orgullO/so (característica, general)",pride,1
"bravo (característica, general)",bravos,1
"hospitalario (característica, personalidad)",hospitable,1
"siesta  (característica, personalidad)",siesta,1
"chica (género, femenino)",girl,1
"señora (género, femenino)",ladies,1
"señora (género, femenino)",senorita,1
"chico (género, masculino)",boy,1
"campesino (oficio, campo y ciudad)",peasants,1
"pescador (oficio, campo y ciudad)",fishers,1
"jardinero (oficio, campo y ciudad)",gardener,1
"matador (oficio, toreo)",matador,1
"mendigo (grupos, interno)",beggars,1
"vagabundo (grupos, interno)",tramps,1
"baile (fiestas, feria y carnaval)",baile,1
"corrida/toreo (fiestas, toreo)",bull-fighting,1
"corrida/toreo (fiestas, toreo)",bull-fights,1
