principal,variantes,menciones
murallas,walls,31
catedral,cathedral,20
patio,patio,18
ciudad,town,15
alhambra,alhambra,13
palacio,palace,11
mar,sea,10
calles,streets,9
casa,house,9
tren,train,9
muralla,wall,8
patio,court,8
camino,road,8
sur,south,8
giralda,giralda,6
mezquita,mezquita,6
plaza,square,6
mezquita,mosque,5
barrio,quarter,5
casas,houses,5
jardín,garden,5
plaza,plaza,5
vino,wine,5
Carruaje,carriage,5
capilla,chapel,4
ruinas,ruins,4
calle,street,4
casas,dwellings,4
rio,river,4
castillo,castle,3
iglesia,church,3
iglesias,churches,3
puente,bridge,3
tajo,gorge,3
albaicín,albaicin,3
barrios,quarters,3
ciudades,towns,3
patios,courts,3
patio,patios,3
camino,route,3
viaje,trip,3
del sur,southern,3
palacio,palacio,2
puerto,port,2
calle,calle,2
mercado,market,2
parque,park,2
caminos,roads,2
ferrocarril,railway,2
ferrocarril,railroad,2
montañas,mountains,2
itálica,italica,1
puente,puente,1
puertos,ports,1
ruina,ruin,1
triana,triana,1
pueblos,villages,1
judería,jewish,1
mercados,markets,1
mina,mine,1
minas,mine,1
mina,mina,1
tabaco,tobacco,1
cigarros,cigarettes,1
darro,darro,1
montaña,mountain,1
