principal,variantes,menciones
hombre,man,14
hombres,men,14
mujeres,women,11
moro,moorish,11
semana santa,holy week,10
belleza,beauty,9
mujeres,ladies,9
andaluz,andalusian,8
baile,dance,8
pobre,poor,7
tradición,custom,7
fiesta,feast,7
mujeres,girls,6
sol,sun,5
religioso,religious,5
sevillano,sevillian,5
mujer,woman,5
procesión,procession,5
musulmán,moslem,4
feria,fair,4
velo,veil,4
patriota,patriotic,3
orgulloso,proud,3
campesino,peasant,3
mujer,lady,3
moro,moor,3
mantilla,mantilla,3
mantillas,mantillas,3
pintoresco,picturesque,2
hospitalidad,hospitality,2
tradición,tradition,2
andaluz,andaluz,2
mujer,girl,2
hombres,boys,2
árabe,arab,2
virgen,virgin,2
mantillas,shawls,2
amable,friendly,1
atraso,backwardness,1
caridad,charity,1
exagerado,exaggerated,1
delicioso,delicious,1
honesto,honest,1
orgullo,pride,1
siesta,siesta,1
jardinera,gardener,1
pastor,shepherd,1
posaderos,innkeepers,1
sereno,watchman,1
gitano,gypsy,1
gitanos,gypsies,1
mendigo,beggar,1
mujer,señora,1
hombre,boy,1
hombres,gentlemen,1
hombre,señor,1
bolero,bolero,1
carnaval,carnival,1
corrida,bull-fight,1
café,coffee,1
abanico,fan,1
mantilla,shawl,1
peineta,hair comb,1
