principal,variantes,menciones
sevilla (Sevilla),seville,54
cádiz (Cádiz),cadiz,17
granada (Granada),granada,14
andalucia (comunidad),andalusia,8
andaluz (gentilicio),andalusian,8
córdoba  (Córdoba),cordova,8
sevillano (gentilicio),sevillian,5
sevillano (gentilicio),sevillians,3
andaluz (gentilicio),andaluz,2
sevilla (Sevilla),sevilla,2
andaluz (gentilicio),andalusians,1
cádiz (Cádiz),cádiz,1
san fernando (Cádiz),san fernando,1
jerez de la frontera (Cádiz),jerez,1
jerez de la frontera (Cádiz),sherry,1
Antequera-bobadilla (Málaga),bobadilla,1
ronda (Málaga),ronda,1
carmona (Sevilla),carmona,1
