principal,variantes,menciones
iglesia,church,41
catedral,cathedral,31
ciudad,town,18
calles,streets,16
alhambra,alhambra,12
mar,sea,11
patio,patio,10
casa,house,9
parque,park,9
alcázar,alcázar,8
calle,street,7
casas,houses,7
ciudades,towns,6
parque,parks,6
montañas,mountains,6
mezquita,mosque,5
murallas,walls,5
palacio,palace,5
giralda,giralda,4
capilla,chapel,4
jardín,garden,4
plaza,square,4
Carruaje,carriage,4
tren,train,4
itálica,italica,3
mezquita,mezquita,3
patio,court,3
viaje,journey,3
del sur,southern,3
generalife,generalife,2
iglesias,churches,2
muralla,wall,2
triana,triana,2
pueblo,village,2
patio,courtyard,2
patio,patios,2
hospital,hospital,2
caminos,roads,2
camino,route,2
Carruajes,carriages,2
darro,darro,2
sur,south,2
catedrales,cathedrals,1
puente,puente,1
albaicín,albaicín,1
barrio,quarter,1
cementerio,cemetery,1
mina,mine,1
minas,mine,1
cobre,copper,1
vino,wine,1
vino,sherry,1
aceite,oil,1
tabaco,tobacco,1
viajes,journeys,1
diligencia,diligence,1
trenes,trains,1
sierra nevada,sierra nevada,1
rio,river,1
