principal,variantes,menciones
sol,sun,30
hombre,man,29
hombres,men,23
pernales,pernales,16
pobre,poor,15
virgen,virgin,13
pintoresco,picturesque,8
belleza,beauty,8
feria,fair,7
encantador,delightful,6
ganadero,miura,6
bandolero,bandit,5
mujer,lady,5
moro,moorish,5
toreo,bull-fighting,5
guitarra,guitar,5
amable,friendly,4
calor,hot,4
religioso,religious,4
valiente,brave,4
sevillano,sevillian,4
calor,heat,3
exótico,exotic,3
fiable,reliable,3
orgullo,pride,3
alguacil,bailiff,3
pastor,shepherd,3
guardia civil,civil guard,3
bandoleros,bandits,3
mujer,girl,3
hombre,señor,3
árabe,arab,3
musulmán,moslem,3
moro,moor,3
moros,moors,3
procesión,procession,3
cortejo,courting,2
generoso,generous,2
ganaderos,breeders,2
carmen,carmen,2
mujeres,women,2
mujer,señora,2
hombre,boy,2
fiesta,feast,2
corrida,bull-fight,2
corridas,bull-fights,2
abanico,fan,2
caridad,charity,1
exagerado,exaggerated,1
delicioso,delicious,1
honestidad,honesty,1
orgulloso,proud,1
siesta,siesta,1
tradición,tradition,1
tradición,custom,1
andaluz,andaluz,1
sevillano,sevillano,1
guardia civil,guardia civil,1
mujeres,girls,1
mujer,woman,1
mujeres,ladies,1
baile,dance,1
procesión,pageant,1
romería,pilgrim,1
virgen,virgen,1
paseo,stroll,1
tertulia,gathering,1
tertulias,gatherings,1
café,coffee,1
