principal,variantes,menciones
montaña,mountain,41
marismas,marisma,34
doñana,doñana,25
sierra morena,sierra morena,18
rio,river,17
mar,sea,16
del sur,southern,16
montañas,mountains,15
sierra nevada,sierra nevada,14
pueblo,village,13
sur,south,13
tajo,gorge,12
cortijo,farm,12
marismas,marismas,11
murallas,walls,10
barrios,quarters,10
plaza,plaza,7
casa,house,6
despeñaperros,despeñaperros,6
genil,genil,6
guadalquivir,guadalquivir,6
pueblos,villages,5
camino,route,5
barrio,quarter,4
ciudad,town,4
plaza,square,4
sierra bermeja,sierra bermeja,4
sierra de grazalema,grazalema,4
iglesia,church,3
muralla,wall,3
palacio,palacio,3
ruina,ruin,3
cobre,copper,3
tabaco,cigarette,3
diligencia,carriage,3
darro,darro,3
alhambra,alhambra,2
puente,puente,2
calles,streets,2
ciudades,towns,2
mercado,market,2
vino,wine,2
camino,road,2
ferrocarril,railway,2
generalife,generalife,1
castillos,castles,1
iglesias,churches,1
palacio,palace,1
puente,bridge,1
puerto,port,1
triana,triana,1
calle,street,1
casas,houses,1
casa,dwelling,1
ciudad,ciudad,1
mercados,markets,1
patio,courtyard,1
posada,inn,1
teatro,theatre,1
hospital,hospital,1
mina,mine,1
minas,mine,1
vino,sherry,1
aceite,oil,1
caminos,routes,1
diligencia,diligence,1
ferrocarriles,railways,1
tren,train,1
venta,venta,1
rios,rivers,1
rio,rio,1
