principal,variantes,menciones
sol,sun,20
calor,heat,13
moro,moor,12
vagabundo,tramp,9
mujer,woman,9
siesta,siesta,8
mujeres,women,8
árabe,arabic,8
campesino,peasant,7
árabe,arab,7
corrida,corrida,7
torero,torero,7
guitarra,guitar,7
andaluz,andalusian,6
sevillano,sevillian,6
abanico,fan,6
mantilla,mantilla,6
pobre,poor,4
orgullo,pride,4
tradición,custom,4
andaluz,andaluz,4
gitano,gypsy,4
mujer,senora,4
toreros,toreros,4
tertulia,gathering,4
tertulia,conversation,4
calor,hot,3
arriero,arriero,3
sevillana,sevillana,3
guardia civil,guardia civil,3
mendigo,beggar,3
mujeres,girls,3
baile,dance,3
virgen,virgin,3
paseo,stroll,3
belleza,beauty,2
honesto,honest,2
perezoso,lazy,2
cigarreras,cigarreras,2
sevillano,sevillano,2
bandolero,bandit,2
bandoleros,bandits,2
pernales,pernales,2
mujer,lady,2
fiesta,fiesta,2
toreo,bullfighting,2
corrida,bullfight,2
plaza de toros,bullring,2
torero,bullfighter,2
pintoresco,picturesque,1
alegre,joyful,1
amable,friendly,1
caridad,charity,1
exagerado,exaggerated,1
exótico,exotic,1
chulo,chulo,1
generoso,generous,1
arriero,muleteer,1
ganadero,ganadero,1
ganadero,miura,1
pastor,shepherd,1
vendedor,seller,1
vendedores,sellers,1
malagueño,malagueno,1
sevillana,sevillanas,1
carmen,carmen,1
majas,majas,1
mendigo,mendicant,1
mujer,girl,1
árabe,arabian,1
moro,moorish,1
procesión,procession,1
corridas,bullfights,1
toreros,bullfighters,1
tertulias,conversations,1
café,coffee,1
mantilla,shawl,1
