principal,variantes,menciones
sevilla (Sevilla),seville,25
andalucia (comunidad),andalusia,13
córdoba  (Córdoba),cordoba,11
granada (Granada),granada,11
jaén (Jaén),jaen,9
san fernando (Cádiz),san fernando,7
ronda (Málaga),ronda,7
andaluz (gentilicio),andalusian,6
algeciras (Cádiz),algeciras,6
sevillano (gentilicio),sevillian,6
andaluz (gentilicio),andaluz,4
sevillana (gentilicio),sevillana,3
Antequera-bobadilla (Málaga),bobadilla,2
málaga (Málaga),malaga,2
carmona (Sevilla),carmona,2
sevillano (gentilicio),sevillano,2
tarifa (Cádiz),tarifa,1
loja (Granada),loja,1
andújar (Jaén),andujar,1
bailén (Jaén),bailen,1
la carolina (Jaén),carolina,1
malagueño (gentilicio),malagueno,1
