principal,variantes,menciones
ciudad,town,23
tren,train,22
calle,street,19
camino,highway,19
plaza,plaza,17
tabaco,cigarette,14
catedral,cathedral,12
casa,house,11
ferrocarril,railway,10
vino,wine,9
calles,streets,8
pueblo,village,8
camino,road,8
murallas,walls,7
casas,houses,6
posada,inn,6
cobre,copper,6
cigarros,cigarettes,6
guadalquivir,guadalquivir,6
alhambra,alhambra,5
tajo,gorge,5
mar,sea,5
montaña,mountain,5
rio,river,5
del sur,southern,5
mezquita,mosque,4
barrio,quarter,4
mercado,market,4
plaza,square,4
tabaco,tobacco,4
camino,route,4
ferrocarril,railroad,4
montañas,mountains,4
iglesia,church,3
puente,bridge,3
barrios,quarters,3
calle,calle,3
casa,dwelling,3
casa,casa,3
patio,patio,3
posada,posada,3
hospital,hospital,3
giralda,giralda,2
palacio,palace,2
puente,puente,2
sierpes,sierpes,2
casas,dwellings,2
pueblos,villages,2
parque,park,2
minería,mining,2
aceite,oil,2
diligencia,carriage,2
ferrocarriles,railways,2
trenes,trains,2
venta,venta,2
sierra nevada,sierra nevada,2
sur,south,2
torre del oro,golden tower,1
iglesias,churches,1
muralla,wall,1
puentes,bridges,1
ruina,ruin,1
tajo,tajo,1
albaicín,albaicin,1
triana,triana,1
ciudades,towns,1
mercados,markets,1
mercado,socco,1
jardín,garden,1
patio,court,1
patios,courts,1
patio,patios,1
taberna,tavern,1
mina,mine,1
minas,mine,1
ajo,garlic,1
caminos,roads,1
diligencia,carriages,1
ferrocarril,railroads,1
darro,darro,1
despeñaperros,despenaperros,1
guadalevín,guadalevin,1
sierra morena,sierra morena,1
mulhacén,mulhacen,1
