principal,variantes,menciones
"ciudad (público,común)",city,40
"ciudad (público,común)",town,23
"tren (viaje, transporte)",train,22
"sol (espacio natural, común)",sun,20
"calle (público,común)",street,19
"plaza (público,común)",plaza,17
"tabaco (consumo, alimentación)",cigarette,14
"toro (viaje, animal)",bull,13
"catedral (monumento, común)",cathedral,12
"casa (público,común)",house,11
"peseta (consumo, objeto)",peseta,10
"ferrocarril (viaje, transporte)",railway,10
"vino (consumo, alimentación)",wine,9
"calle (público,común)",streets,8
"pueblo (público,común)",village,8
"toro (viaje, animal)",bulls,8
"muralla (monumento, común)",walls,7
"peseta (consumo, objeto)",pesetas,7
"guitarra  (consumo, objeto)",guitar,7
"burro (viaje, animal)",donkeys,7
"plaza san fernando (público,propio)",plaza san fernando,6
"casa (público,común)",houses,6
"abanico (consumo, objeto)",fan,6
"mantilla  (consumo, objeto)",mantilla,6
"tabaco (consumo, alimentación)",cigarettes,6
"posada (consumo, establecimiento)",inn,6
"guadalquivir  (espacio natural, propio)",guadalquivir,6
"cobre (espacio natural, común)",copper,6
"alhambra (monumento, propio)",alhambra,5
"mar  (espacio natural, común)",sea,5
"montaña  (espacio natural, común)",mountain,5
"rio  (espacio natural, común)",river,5
"del sur  (espacio natural, común)",southern,5
"mezquita (monumento, propio)",mosque,4
"barrio (público,común)",quarter,4
"plaza (público,común)",square,4
"tabaco (consumo, alimentación)",tobacco,4
"mercado (consumo, establecimiento)",market,4
"ferrocarril (viaje, transporte)",railroad,4
"caballo (viaje, animal)",horses,4
"montaña  (espacio natural, común)",mountains,4
"iglesia (monumento, común)",church,3
"puente (monumento, común)",bridge,3
"barrio (público,común)",quarters,3
"calle (público,común)",calle,3
"casa (público,común)",dwelling,3
"casa (público,común)",casa,3
"ciudad (público,común)",cities,3
"patio (público,común)",patio,3
"hospital (público,común)",hospital,3
"posada (consumo, establecimiento)",posada,3
"venta (consumo, establecimiento)",venta,3
"toro (viaje, animal)",toros,3
"burro (viaje, animal)",donkey,3
"mula (viaje, animal)",mules,3
"giralda (monumento, propio)",giralda,2
"palacio (monumento, común)",palace,2
"puente (monumento, común)",puente,2
"sierpes (público,propio)",sierpes,2
"casa (público,común)",dwellings,2
"pueblo (público,común)",villages,2
"parque (público,común)",park,2
"plaza de toros (público,común)",bullring,2
"aceite (consumo, alimentación)",oil,2
"café  (consumo, alimentación)",cafe,2
"fonda (consumo, establecimiento)",fonda,2
"hotel (consumo, establecimiento)",hotel,2
"Carruaje (viaje, transporte)",carriage,2
"ferrocarril (viaje, transporte)",railways,2
"tren (viaje, transporte)",trains,2
"toro (viaje, animal)",toro,2
"burro (viaje, animal)",burro,2
"sierra nevada  (espacio natural, propio)",sierra nevada,2
"sol (espacio natural, común)",sol,2
"del sur  (espacio natural, común)",south,2
"mina (espacio natural, común)",mines,2
"mina (espacio natural, común)",mining,2
"torre del oro (monumento, propio)",golden tower,1
"iglesia (monumento, común)",churches,1
"muralla (monumento, común)",wall,1
"puente (monumento, común)",bridges,1
"ruina (monumento, común)",ruin,1
"albaicín (público,propio)",albaicin,1
"triana (público,propio)",triana,1
"ciudad (público,común)",towns,1
"pueblo (público,común)",pueblo,1
"jardín (público,común)",garden,1
"patio (público,común)",court,1
"patio (público,común)",courts,1
"patio (público,común)",patios,1
"plaza (público,común)",plazas,1
"plaza de toros (público,común)",plaza de toros,1
"molino (consumo, objeto)",mills,1
"fuente (consumo, objeto)",fountain,1
"fuente (consumo, objeto)",fountains,1
"mantilla  (consumo, objeto)",shawl,1
"alforja (consumo, objeto)",alforjas,1
"ajo (consumo, alimentación)",garlic,1
"puchero (consumo, alimentación)",puchero,1
"gazpacho (consumo, alimentación)",gazpacho,1
"tabaco (consumo, alimentación)",tabacos,1
"tabaco (consumo, alimentación)",cigarillo,1
"café  (consumo, alimentación)",cafes,1
"café  (consumo, alimentación)",coffee,1
"mercado (consumo, establecimiento)",markets,1
"mercado (consumo, establecimiento)",socco,1
"taberna (consumo, establecimiento)",tavern,1
"fonda (consumo, establecimiento)",fondas,1
"Carruaje (viaje, transporte)",carriages,1
"ferrocarril (viaje, transporte)",railroads,1
"caballo (viaje, animal)",horse,1
"darro  (espacio natural, propio)",darro,1
"despeñaperros  (espacio natural, propio)",despenaperros,1
"guadalevín  (espacio natural, propio)",guadalevin,1
"sierra morena  (espacio natural, propio)",sierra morena,1
"mulhacén  (espacio natural, propio)",mulhacen,1
"mina (espacio natural, común)",mine,1
