principal,variantes,menciones
"mujer (género, femenino)",women,48
"belleza (característica, general)",beautiful,19
"hombre (género, masculino)",men,18
"baile (fiestas, feria y carnaval)",dance,18
"belleza (característica, general)",beauty,16
"amor  (característica, general)",love,15
"bueno (característica, general)",good,14
"religioso  (característica, personalidad)",religious,13
"moro (grupos, externo)",moorish,13
"corrida/toreo (fiestas, toreo)",bull-fight,12
"mujer (género, femenino)",woman,11
"alegría  (característica, general)",joy,9
"pobre (característica, general)",poor,8
"procesión (fiestas, religión)",procession,8
"dios (característica, general)",god,7
"rico (característica, general)",rich,7
"hombre (género, masculino)",man,7
"campesino (oficio, campo y ciudad)",peasants,7
"paso (fiestas, religión)",pasos,7
"virgen  (característica, general)",virgin,6
"hospitalario (característica, personalidad)",hospitality,6
"señora (género, femenino)",señora,6
"moro (grupos, externo)",moors,6
"feria  (fiestas, feria y carnaval)",feria,6
"tradición (característica, general)",custom,5
"chico (género, masculino)",boys,5
"cigarrera (oficio, campo y ciudad)",cigarreras,5
"frío (característica, general)",cold,4
"pintoresco (característica, general)",picturesque,4
"alegre-amable (característica, personalidad)",friendly,4
"chica (género, femenino)",girl,4
"chico (género, masculino)",boy,4
"gitano (grupos, interno)",gitanas,4
"semana santa  (fiestas, religión)",holy week,4
"maravilloso (característica, general)",wonderful,3
"viaje  (característica, general)",journey,3
"santo/a  (característica, general)",saint,3
"delicioso (característica, general)",delicious,3
"encantador (característica, personalidad)",delightful,3
"majo (característica, personalidad)",majos,3
"guapo (característica, personalidad)",handsome,3
"señor (género, masculino)",señor,3
"torero  (oficio, toreo)",toreros,3
"mendigo (grupos, interno)",beggars,3
"árabe (grupos, externo)",arabic,3
"caseta (fiestas, feria y carnaval)",caseta,3
"maravilloso (característica, general)",amazing,2
"calor  (característica, general)",heat,2
"virgen  (característica, general)",santa,2
"fiesta (característica, general)",feast,2
"caridad  (característica, personalidad)",charity,2
"perezoso (característica, personalidad)",lazy,2
"violento  (característica, personalidad)",violent,2
"campesino (oficio, campo y ciudad)",peasant,2
"banderillero  (oficio, toreo)",banderilleros,2
"picador  (oficio, toreo)",picador,2
"picador  (oficio, toreo)",picadores,2
"gitano (grupos, interno)",gipsy,2
"gitano (grupos, interno)",gipsies,2
"moro (grupos, externo)",moor,2
"sevillanas (fiestas, feria y carnaval)",sevillanas,2
"flamenco (fiestas, feria y carnaval)",flamenco,2
"caseta (fiestas, feria y carnaval)",casetas,2
"feria  (fiestas, feria y carnaval)",fair,2
"terrible (característica, general)",terrible,1
"tristeza (característica, general)",sadness,1
"sorpresa  (característica, general)",surprise,1
"calor  (característica, general)",warmth,1
"tertulia  (característica, general)",tertulias,1
"camino  (característica, general)",roads,1
"camino  (característica, general)",camino,1
"viaje  (característica, general)",travel,1
"viaje  (característica, general)",travels,1
"viajero (característica, general)",tourist,1
"santo  (característica, general)",san,1
"dios (característica, general)",dios,1
"exótico (característica, general)",exotic,1
"orgullO/so (característica, general)",proud,1
"orgullO/so (característica, general)",pride,1
"tradición (característica, general)",tradition,1
"fiesta (característica, general)",fiesta,1
"ole (característica, general)",oles,1
"viva (característica, general)",vivas,1
"chulo (característica, personalidad)",chulos,1
"honestidad (característica, personalidad)",honesty,1
"majo (característica, personalidad)",majo,1
"chica (género, femenino)",girls,1
"chica (género, femenino)",niña,1
"señora (género, femenino)",ladies,1
"señora (género, femenino)",lady,1
"señora (género, femenino)",señorita,1
"señora (género, femenino)",doña,1
"aguador (oficio, campo y ciudad)",aguadores,1
"arriero (oficio, campo y ciudad)",muleteers,1
"torero  (oficio, toreo)",torero,1
"matador (oficio, toreo)",matador,1
"banderillero  (oficio, toreo)",banderillero,1
"cuadrilla  (oficio, toreo)",cuadrilla,1
"gitano (grupos, interno)",gitanos,1
"gitano (grupos, interno)",gitana,1
"mendigo (grupos, interno)",beggar,1
"moro (grupos, externo)",moro,1
"oriental (grupos, externo)",oriental,1
"bolero (fiestas, feria y carnaval)",bolero,1
"flamenco (fiestas, feria y carnaval)",flamenca,1
"flamenco (fiestas, feria y carnaval)",flamencas,1
"copla  (fiestas, feria y carnaval)",coplas,1
"corpus christi  (fiestas, religión)",corpus christi,1
"procesión (fiestas, religión)",pageants,1
"semana santa  (fiestas, religión)",semana santa,1
"cofradia (fiestas, religión)",cofradia,1
"paso (fiestas, religión)",paso,1
"corrida/toreo (fiestas, toreo)",bull-fighting,1
