principal,variantes,menciones
sevilla (Sevilla),seville,97
córdoba  (Córdoba),cordova,48
granada (Granada),granada,30
ronda (Málaga),ronda,26
algeciras (Cádiz),algeciras,19
tarifa (Cádiz),tarifa,15
andalucia (comunidad),andalusia,12
andaluz (gentilicio),andalusian,10
sevillano (gentilicio),sevillian,10
san fernando (Cádiz),san fernando,7
cordobese (gentilicio),cordovese,7
cádiz (Cádiz),cadiz,5
granadino (gentilicio),granadan,5
Antequera-bobadilla (Málaga),bobadilla,5
málaga (Málaga),malaga,4
cordobese (gentilicio),cordoveses,3
montilla  (Córdoba),montilla,3
andaluz (gentilicio),andalusians,2
jerez de la frontera (Cádiz),sherry,1
granadino (gentilicio),granadans,1
sevilla (Sevilla),sevilla,1
