principal,variantes,menciones
"moro (grupos, externo)",moorish,28
"viaje  (característica, general)",journey,15
"bueno (característica, general)",good,12
"calor  (característica, general)",hot,11
"señora (género, femenino)",lady,10
"hombre (género, masculino)",man,8
"matador (oficio, toreo)",matador,8
"camino  (característica, general)",road,7
"moro (grupos, externo)",moors,7
"señor (género, masculino)",don,6
"vendedor (oficio, campo y ciudad)",sellers,6
"moro (grupos, externo)",moor,6
"procesión (fiestas, religión)",procession,6
"calor  (característica, general)",heat,5
"santo  (característica, general)",san,5
"tradición (característica, general)",custom,5
"viajero (característica, general)",traveller,4
"pobre (característica, general)",poor,4
"caridad  (característica, personalidad)",charity,4
"valiente  (característica, personalidad)",brave,4
"mujer (género, femenino)",woman,4
"gitano (grupos, interno)",gipsies,4
"corrida/toreo (fiestas, toreo)",corrida,4
"belleza (característica, general)",beauty,3
"amor  (característica, general)",love,3
"camino  (característica, general)",route,3
"camino  (característica, general)",path,3
"viaje  (característica, general)",travel,3
"viaje  (característica, general)",travels,3
"virgen  (característica, general)",santa,3
"cobarde  (característica, personalidad)",cowardly,3
"mujer (género, femenino)",women,3
"señor (género, masculino)",gentleman,3
"picador  (oficio, toreo)",picador,3
"picador  (oficio, toreo)",picadores,3
"belleza (característica, general)",beautiful,2
"belleza (característica, general)",pretty,2
"ilusión (característica, general)",hope,2
"maravilloso (característica, general)",wonderful,2
"malo (característica, general)",bad,2
"camino  (característica, general)",roads,2
"viaje  (característica, general)",trip,2
"viajero (característica, general)",travellers,2
"viajero (característica, general)",tourist,2
"santo/a  (característica, general)",saint,2
"orgullO/so (característica, general)",proud,2
"tradición (característica, general)",tradition,2
"pintoresco (característica, general)",picturesque,2
"señora (género, femenino)",senora,2
"chico (género, masculino)",boys,2
"chico (género, masculino)",chico,2
"sereno (oficio, seguridad)",sereno,2
"policia (oficio, seguridad)",police,2
"mendigo (grupos, interno)",beggars,2
"árabe (grupos, externo)",arabic,2
"árabe (grupos, externo)",arabes,2
"moro (grupos, externo)",moro,2
"feria  (fiestas, feria y carnaval)",fair,2
"belleza (característica, general)",bella,1
"feo (característica, general)",unpleasant,1
"terrible (característica, general)",terrible,1
"terrible (característica, general)",awful,1
"miedo  (característica, general)",fear,1
"confianza (característica, general)",trust,1
"sorpresa  (característica, general)",surprise,1
"calor  (característica, general)",warmth,1
"frío (característica, general)",cold,1
"camino  (característica, general)",camino,1
"viaje  (característica, general)",tours,1
"viajero (característica, general)",tourists,1
"virgen  (característica, general)",virgin,1
"virgen  (característica, general)",virgen,1
"dios (característica, general)",dios,1
"dios (característica, general)",god,1
"rico (característica, general)",rich,1
"fiesta (característica, general)",fiesta,1
"fiesta (característica, general)",feast,1
"viva (característica, general)",vivas,1
"religioso  (característica, personalidad)",religious,1
"caridad  (característica, personalidad)",charitable,1
"encantador (característica, personalidad)",delightful,1
"generoso (característica, personalidad)",generous,1
"honestidad (característica, personalidad)",honest,1
"hospitalario (característica, personalidad)",hospitality,1
"guapo (característica, personalidad)",handsome,1
"señora (género, femenino)",ladies,1
"hombre (género, masculino)",men,1
"barbero (oficio, campo y ciudad)",barber,1
"campesino (oficio, campo y ciudad)",peasant,1
"campesino (oficio, campo y ciudad)",peasants,1
"vendedor (oficio, campo y ciudad)",seller,1
"banderillero  (oficio, toreo)",banderillero,1
"banderillero  (oficio, toreo)",banderilleros,1
"sereno (oficio, seguridad)",serenos,1
"gitano (grupos, interno)",gipsy,1
"vagabundo (grupos, interno)",vagrants,1
"árabe (grupos, externo)",arab,1
"árabe (grupos, externo)",arabs,1
"árabe (grupos, externo)",arabian,1
"oriental (grupos, externo)",oriental,1
"baile (fiestas, feria y carnaval)",dance,1
"romería (fiestas, religión)",pilgrim,1
