principal,variantes,menciones
mujeres,women,48
baile,dance,18
belleza,beauty,16
religioso,religious,13
moro,moorish,13
corrida,bull-fight,12
mujer,woman,11
pobre,poor,8
andaluz,andalusian,8
procesión,procession,8
hospitalidad,hospitality,6
mujer,señora,6
moros,moors,6
virgen,virgin,6
tradición,custom,5
pintoresco,picturesque,4
amable,friendly,4
sol,sun,4
gitana,gitanas,4
mujer,girl,4
semana santa,holy week,4
delicioso,delicious,3
encantador,delightful,3
árabe,arabic,3
tertulia,conversation,3
abanico,fan,3
guitarra,guitar,3
calor,heat,2
caridad,charity,2
perezoso,lazy,2
violento,violent,2
campesino,peasant,2
moro,moor,2
fiesta,feast,2
feria,fair,2
velo,veil,2
exótico,exotic,1
honestidad,honesty,1
orgulloso,proud,1
orgullo,pride,1
tradición,tradition,1
arrieros,muleteers,1
cordobés,cordovese,1
sevillano,sevillian,1
gitano,gitanos,1
gitana,gitana,1
mendigo,beggar,1
mujeres,girls,1
mujer,lady,1
mujer,señorita,1
feria,feria,1
corpus christi,corpus christi,1
toreo,bull-fighting,1
paseo,promenade,1
café,coffee,1
faja roja,red sash,1
mantilla,shawl,1
mantillas,shawls,1
