principal,variantes,menciones
casa,house,14
iglesia,church,12
pueblo,village,12
calles,streets,11
jardín,garden,10
alhambra,alhambra,9
casas,houses,8
mezquita,mosque,7
calle,street,7
ciudad,town,7
ciudades,towns,7
tren,train,7
patio,court,6
catedral,cathedral,5
palacio,palace,5
vino,wine,5
murallas,walls,4
tabaco,cigarette,4
montañas,mountains,4
del sur,southern,4
generalife,generalife,3
patios,courts,3
ajo,garlic,3
viaje,journey,3
Carruaje,carriage,3
sur,south,3
patio de los naranjos,court of oranges,2
alcázar,alcázar,2
mezquita,mezquita,2
ruina,ruin,2
ruinas,ruins,2
barrio,quarter,2
pueblos,villages,2
parque,park,2
posadas,inns,2
aceite,oil,2
cigarros,cigarettes,2
Carruajes,carriages,2
trenes,trains,2
montaña,mountain,2
rios,rivers,2
giralda,giralda,1
torreo del oro,tower of gold,1
capilla,chapel,1
catedrales,cathedrals,1
iglesias,churches,1
sierpes,sierpes,1
triana,triana,1
barrios,quarters,1
calle,calle,1
casa,dwelling,1
mercados,markets,1
jardín,jardín,1
parque,parks,1
plaza,plaza,1
posada,posada,1
hospital,hospital,1
caminos,roads,1
camino,camino,1
diligencia,diligence,1
diligencias,diligences,1
a caballo,on horseback,1
ferrocarril,railway,1
ferrocarriles,railways,1
genil,genil,1
sierra nevada,sierra nevada,1
