principal,variantes,menciones
mujeres,women,44
moro,moorish,44
mujer,girl,29
sol,sun,26
moros,moors,26
calor,hot,19
pobre,poor,17
mujer,woman,17
mujer,lady,16
mujeres,girls,14
belleza,beauty,13
orgulloso,proud,12
andaluz,andalusian,10
sevillano,sevillian,10
campesino,peasant,9
tradición,custom,8
calor,heat,7
orgullo,pride,7
cordobés,cordovese,7
alegre,cheerful,6
encantador,delightful,6
patriota,patriotic,6
valiente,brave,6
vagabundo,tramp,6
musulmán,moslem,6
baile,dance,6
fiesta,feast,6
tertulia,gathering,6
amable,friendly,5
caridad,charity,5
granadino,granadan,5
árabe,arab,5
moro,moor,5
paseo,promenade,5
mantillas,mantillas,5
honesto,honest,4
religioso,religious,4
hacedor,maker,4
jardinera,gardener,4
mendigo,beggar,4
árabe,arabic,4
feria,fair,4
mantilla,mantilla,4
pintoresco,picturesque,3
generoso,generous,3
hospitalidad,hospitality,3
tradición,tradition,3
feria,feria,3
procesión,procession,3
virgen,virgin,3
tertulia,conversation,3
café,coffee,3
exagerado,exaggerated,2
delicioso,delicious,2
violento,violent,2
pastor,shepherd,2
vendedores,sellers,2
corrida,bull-fight,2
mantilla,shawl,2
alegre,joyful,1
caridad,caridad,1
cortejo,courting,1
hacedores,makers,1
posadero,innkeeper,1
carmen,carmen,1
guardia civil,civil guard,1
bandoleros,bandits,1
árabe,arabian,1
musulmanes,moslems,1
corpus christi,corpus christi,1
toreo,bullfighting,1
toreo,bull-fighting,1
abanico,fan,1
guitarra,guitar,1
mantillas,shawls,1
