principal,variantes,menciones
"hombre (género, masculino)",men,53
"bueno (característica, general)",good,46
"mujer (género, femenino)",women,44
"moro (grupos, externo)",moorish,44
"belleza (característica, general)",beautiful,33
"hombre (género, masculino)",man,31
"chica (género, femenino)",girl,29
"chico (género, masculino)",boy,27
"moro (grupos, externo)",moors,26
"señor (género, masculino)",don,20
"calor  (característica, general)",hot,19
"camino  (característica, general)",road,19
"señora (género, femenino)",ladies,19
"chico (género, masculino)",boys,19
"pobre (característica, general)",poor,17
"mujer (género, femenino)",woman,17
"señora (género, femenino)",lady,16
"belleza (característica, general)",pretty,15
"santo  (característica, general)",san,15
"ilusión (característica, general)",hope,14
"chica (género, femenino)",girls,14
"belleza (característica, general)",beauty,13
"frío (característica, general)",cold,13
"malo (característica, general)",bad,12
"amor  (característica, general)",love,12
"orgullO/so (característica, general)",proud,12
"gitano (grupos, interno)",gipsy,12
"viaje  (característica, general)",travel,11
"rico (característica, general)",rich,11
"maravilloso (característica, general)",wonderful,10
"campesino (oficio, campo y ciudad)",peasant,9
"tradición (característica, general)",custom,8
"calor  (característica, general)",heat,7
"santo/a  (característica, general)",saint,7
"dios (característica, general)",god,7
"orgullO/so (característica, general)",pride,7
"campesino (oficio, campo y ciudad)",peasants,7
"mendigo (grupos, interno)",beggars,7
"calor  (característica, general)",sunny,6
"tertulia  (característica, general)",gathering,6
"viaje  (característica, general)",journey,6
"viajero (característica, general)",tourist,6
"fiesta (característica, general)",feast,6
"alegre-amable (característica, personalidad)",cheerful,6
"encantador (característica, personalidad)",delightful,6
"patriota (característica, personalidad)",patriotic,6
"valiente  (característica, personalidad)",brave,6
"guapo (característica, personalidad)",handsome,6
"vagabundo (grupos, interno)",tramp,6
"árabe (grupos, externo)",arabs,6
"musulmán (grupos, externo)",moslem,6
"baile (fiestas, feria y carnaval)",dance,6
"rico (característica, general)",rico,5
"rico (característica, general)",riches,5
"alegre-amable (característica, personalidad)",friendly,5
"caridad  (característica, personalidad)",charity,5
"señor (género, masculino)",gentlemen,5
"señor (género, masculino)",gentleman,5
"árabe (grupos, externo)",arab,5
"moro (grupos, externo)",moor,5
"virgen  (característica, general)",santa,4
"religioso  (característica, personalidad)",religious,4
"honestidad (característica, personalidad)",honest,4
"hacedor (oficio, campo y ciudad)",maker,4
"jardinero (oficio, campo y ciudad)",gardener,4
"mendigo (grupos, interno)",beggar,4
"árabe (grupos, externo)",arabic,4
"feria  (fiestas, feria y carnaval)",fair,4
"expectación (característica, general)",expectation,3
"terrible (característica, general)",terrible,3
"sorpresa  (característica, general)",surprise,3
"camino  (característica, general)",roads,3
"virgen  (característica, general)",virgin,3
"tradición (característica, general)",tradition,3
"pintoresco (característica, general)",picturesque,3
"generoso (característica, personalidad)",generous,3
"hospitalario (característica, personalidad)",hospitality,3
"guardia civil (oficio, seguridad)",guardias civiles,3
"feria  (fiestas, feria y carnaval)",feria,3
"procesión (fiestas, religión)",procession,3
"terrible (característica, general)",awful,2
"miedo  (característica, general)",fear,2
"alegría  (característica, general)",joy,2
"confianza (característica, general)",trust,2
"calor  (característica, general)",warmth,2
"viaje  (característica, general)",travels,2
"viaje  (característica, general)",tour,2
"viajero (característica, general)",tourists,2
"delicioso (característica, general)",delicious,2
"simpático  (característica, personalidad)",sympathetic,2
"exagerado (característica, personalidad)",exaggerated,2
"violento  (característica, personalidad)",violent,2
"pastor (oficio, campo y ciudad)",shepherd,2
"vendedor (oficio, campo y ciudad)",sellers,2
"árabe (grupos, externo)",arabian,2
"oriental (grupos, externo)",oriental,2
"corrida/toreo (fiestas, toreo)",bull-fight,2
"feo (característica, general)",ugly,1
"expectación (característica, general)",anticipation,1
"maravilloso (característica, general)",amazing,1
"positivo  (característica, general)",positive,1
"tertulia  (característica, general)",tertulia,1
"tertulia  (característica, general)",tertulias,1
"camino  (característica, general)",path,1
"viaje  (característica, general)",journeys,1
"dios (característica, general)",dios,1
"ole (característica, general)",ole,1
"ole (característica, general)",oles,1
"divertido (característica, general)",fun,1
"alegre-amable (característica, personalidad)",joyful,1
"caridad  (característica, personalidad)",charitable,1
"caridad  (característica, personalidad)",caridad,1
"cortejo (característica, personalidad)",courting,1
"señora (género, femenino)",dona,1
"chico (género, masculino)",chico,1
"hombre (género, masculino)",hombres,1
"señor (género, masculino)",senor,1
"cigarrera (oficio, campo y ciudad)",cigarreras,1
"hacedor (oficio, campo y ciudad)",makers,1
"posadero (oficio, campo y ciudad)",innkeeper,1
"torero  (oficio, toreo)",torero,1
"torero  (oficio, toreo)",toreros,1
"banderillero  (oficio, toreo)",banderillero,1
"guardia civil (oficio, seguridad)",civil guard,1
"policia (oficio, seguridad)",police,1
"bandolero (grupos, interno)",bandits,1
"gitano (grupos, interno)",gipsies,1
"mendigo (grupos, interno)",mendicants,1
"vagabundo (grupos, interno)",tramps,1
"vagabundo (grupos, interno)",vagabonds,1
"musulmán (grupos, externo)",moslems,1
"corpus christi  (fiestas, religión)",corpus christi,1
"corrida/toreo (fiestas, toreo)",corrida,1
"corrida/toreo (fiestas, toreo)",bullfighting,1
"corrida/toreo (fiestas, toreo)",bull-fighting,1
