principal,variantes,menciones
catedral,cathedral,42
iglesia,church,42
calle,street,33
casa,house,32
tren,train,31
murallas,walls,26
calles,streets,25
ciudad,town,21
mezquita,mosque,20
casas,houses,20
jardín,garden,20
patio,court,20
camino,road,19
alcázar,alcazar,18
plaza,plaza,18
palacio,palace,16
puente,bridge,15
ciudades,towns,14
alhambra,alhambra,13
barrio,quarter,13
mercado,market,13
montaña,mountain,13
giralda,giralda,12
muralla,wall,12
triana,triana,11
rio,river,11
capilla,chapel,10
guadalquivir,guadalquivir,10
mar,sea,10
Carruaje,carriage,9
Carruajes,carriages,9
plaza,square,8
hospital,hospital,8
mina,mine,8
minas,mine,8
generalife,generalife,7
pueblo,village,7
vino,wine,7
montañas,mountains,7
iglesias,churches,6
viaje,journey,6
trenes,trains,6
palacios,palaces,5
puerto,puerto,5
casa,dwelling,5
casa,casa,5
cigarros,cigarettes,5
ferrocarril,railway,5
del sur,southern,5
pueblos,villages,4
cementerio,cemetery,4
cobre,copper,4
sierra morena,sierra morena,4
sur,south,4
itálica,italica,3
patio de los naranjos,court of oranges,3
castillo,castle,3
claustro,cloister,3
cortijo,farm,3
caminos,roads,3
casa de pilatos,casa de pilatos,2
pilatos,pilatos,2
torreo del oro,tower of gold,2
alcazaba,alcazaba,2
ruina,ruin,2
ruinas,ruins,2
sierpes,sierpes,2
calle,calle,2
parque,park,2
circo,circus,2
tabaco,cigarette,2
a caballo,on horseback,2
ferrocarril,railroad,2
darro,darro,2
patio de los leones,court of lions,1
catedrales,cathedrals,1
puertos,ports,1
tajo,gorge,1
barrios,quarters,1
casas,dwellings,1
judería,jewish,1
patio,courtyard,1
posadas,inns,1
taberna,tavern,1
aguardiente,aguardiente,1
molino,mill,1
vino,sherry,1
tabaco,tobacco,1
sendero,path,1
viajes,journeys,1
sierra nevada,sierra nevada,1
rios,rivers,1
